Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10857259,458
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2707964,10196
* Adore,71320334,22770
* All My Love,38864302,9593
* All My Love (Remix),83295577,10928
* All My Love - French Version,745503,97
* Arturo Sandoval,3937349,1343
* Bang Bang,1651349279,493115
* Bang Bang - 3LAU Extended Mix,110877,2
* Bang Bang - 3LAU Remix,24458079,2284
* Bang Bang - A Cappella,199313,293
* Bang Bang - Dada Life Remix,6432353,198
* Bang Bang - Imanos & Gramercy Remix,3255001,317
* Bang Bang - Kat Krazy Extended Mix,177284,3
* Bang Bang - Kat Krazy Remix,2470254,125
* Bang Bang - Super Stylers Remix,1509324,114
* Bang Bang - iLL BLU Mix Radio Edit,112826,1
* Bed (feat. Ariana Grande),322478170,34169
* Dance To This (feat. Ariana Grande),329749670,50930
* Dancing Through Life,93144911,53890
* Dear Old Shiz,34806691,13599
* Defying Gravity,203413747,132021
* Defying Gravity - Edit,21809004,27911
* Die For You (with Ariana Grande) - Remix,1263299160,511403
"* E più ti penso - From ""Once Upon A Time In America""",31325982,3435
* Every Day More Wicked,10900685,25870
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117443278,25147
* For Good,33758105,116049
* For Good - Edit,838325,8741
* For Good - Live from the Gershwin Theatre,10775686,24507
* For Good - Sing-Along,133800,480
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3819757,8859
* Get On Your Knees,99033271,12042
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63509331,21048
* Good as Hell (feat. Ariana Grande) - Remix,467788432,39205
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146841729,10229
* Hotel Rock Bottom (feat. Ariana Grande),2634770,2328
* I Don't Do Drugs (feat. Ariana Grande),233135202,52158
* I Don't Know Why (I Just Do),3722559,4678
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21470309,1112
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18491659,6392
"* Mama, I'm a Big Girl Now",15894870,2564
* Met Him Last Night,147953960,24569
* Met Him Last Night - Dave Audé Remix,10493376,1096
* My Favorite Part,435035498,125132
* No One Mourns the Wicked,86115971,45889
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135189038,4315
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1806685,1147
* One Short Day,47153262,21288
* Over And Over Again - Elephante Uptempo Radio Version,4901361,328
* Popular Song (MIKA & Ariana Grande),151100491,31412
* Quit,272274700,41586
* Rain On Me (with Ariana Grande),1217654054,227000
* Rain On Me (with Ariana Grande) - Arca Remix,5874807,1080
* Rain On Me - Purple Disco Machine Remix,3669947,751
* Rain On Me - Purple Disco Machine Remix - Edit,33838842,5966
* Rain On Me - Ralphi Rosario Remix,1407743,269
* Rain On Me - Ralphi Rosario Remix - Edit,2161410,679
* Research,38295852,9708
* Rule The World,63879591,10313
"* Santa, Can't You Hear Me",288337606,11295
"* Santa, Can't You Hear Me - Live",13852921,2221
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2123426520,1034999
"* Still Hurting - From ""The Last Five Years""",3562929,2233
* Sympathy is a knife featuring ariana grande,98635446,59656
* The Wizard And I - Live,7042092,1755
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1627236,2238
* Without Love,5082033,745
* Wonderful,12434612,43237
* You Can't Stop the Beat,10639677,1149
* You Don't Own Me (Feat. Ariana Grande),10431628,3018
34+35,1152721506,305613
34+35 - live from Vevo,547835,2693
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",288896900,51699
7 rings,2740772019,966982
7 rings (feat. 2 Chainz) - Remix,28760080,5131
7 rings - live,14870383,4475
A Little More Homework (feat. Graham Phillips) - Single Version,3008652,214
Almost Is Never Enough (with Nathan Sykes),373989205,130260
Almost Is Never Enough - Soundtrack Version,8902049,751
Baby I,168078888,49950
Baby I - Cosmic Dawn Radio Edit,220627,30
Baby I - Live from London,7553106,3837
Bad Decisions,118482429,26941
Bad To You (with Normani & Nicki Minaj),73508433,5333
Be Alright,326229407,49937
Be My Baby,138197098,77481
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",308084360,51484
Best Mistake,266361481,89463
Better Left Unsaid,36597306,9468
Brand New You (feat. Brynn Williams & Caitlin Gann),4626169,528
Break Free,1168265981,651512
Break Free - A Cappella,178043,306
Break Free - Zedd's Extended Mix,856583,2552
Break Your Heart Right Back,94358111,14518
Cadillac Song,4531415,4089
Come So Far (Got So Far to Go),5605388,400
Dangerous Woman,1537397634,745593
Daydreamin',232169284,80323
Daydreamin' - Live from London,8196085,3935
December,99246994,13801
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),419055831,57642
Everyday,731842700,426679
Focus,353279498,81412
God is a woman,1241213915,381225
Got Her Own (with Victoria Monét),18492112,2873
Greedy,342371245,152626
Hampstead,91281963,172160
Hampstead - a cappella,1322497,2522
Hampstead - instrumental,211237,657
Hands On Me,62848711,23861
