Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10847835,715
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2481499,15873
* Adore,70887698,24828
* All My Love,38688850,11011
* All My Love (Remix),83099542,12935
* All My Love - French Version,743706,108
* Arturo Sandoval,3913880,1504
* Bang Bang,1643183588,501455
* Bang Bang - 3LAU Extended Mix,110823,3
* Bang Bang - 3LAU Remix,24423187,1970
* Bang Bang - A Cappella,194740,296
* Bang Bang - Dada Life Remix,6429023,204
* Bang Bang - Imanos & Gramercy Remix,3249390,312
* Bang Bang - Kat Krazy Extended Mix,177203,8
* Bang Bang - Kat Krazy Remix,2468128,132
* Bang Bang - Super Stylers Remix,1507396,155
* Bang Bang - iLL BLU Mix Radio Edit,112777,4
* Bed (feat. Ariana Grande),321882985,39254
* Dance To This (feat. Ariana Grande),328887967,61687
* Dancing Through Life,92157708,62154
* Dear Old Shiz,34547441,18242
* Defying Gravity,200928343,150591
* Defying Gravity - Edit,21279161,37221
* Die For You (with Ariana Grande) - Remix,1254885856,521636
"* E più ti penso - From ""Once Upon A Time In America""",31278355,3509
* Every Day More Wicked,10389489,35988
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116989621,28460
* For Good,31523397,146866
* For Good - Edit,680290,9862
* For Good - Live from the Gershwin Theatre,10321009,28501
* For Good - Sing-Along,124284,739
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3654421,10536
* Get On Your Knees,98825560,13664
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63132743,21871
* Good as Hell (feat. Ariana Grande) - Remix,467117940,41450
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146674613,10297
* Hotel Rock Bottom (feat. Ariana Grande),2598999,2176
* I Don't Do Drugs (feat. Ariana Grande),232188393,59152
* I Don't Know Why (I Just Do),3643964,4780
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21451600,1207
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18367083,5984
"* Mama, I'm a Big Girl Now",15849517,2792
* Met Him Last Night,147549075,22774
* Met Him Last Night - Dave Audé Remix,10474664,1314
* My Favorite Part,432686181,148330
* No One Mourns the Wicked,85255606,57157
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135104004,6140
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1784548,1392
* One Short Day,46746498,27242
* Over And Over Again - Elephante Uptempo Radio Version,4895123,277
* Popular Song (MIKA & Ariana Grande),150545636,33198
* Quit,271484548,44000
* Rain On Me (with Ariana Grande),1214183115,200028
* Rain On Me (with Ariana Grande) - Arca Remix,5858946,977
* Rain On Me - Purple Disco Machine Remix,3657235,789
* Rain On Me - Purple Disco Machine Remix - Edit,33736875,6655
* Rain On Me - Ralphi Rosario Remix,1403584,237
* Rain On Me - Ralphi Rosario Remix - Edit,2151718,489
* Research,38151168,8802
* Rule The World,63693361,11644
"* Santa, Can't You Hear Me",288122141,17773
"* Santa, Can't You Hear Me - Live",13815012,2322
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2105109790,1115537
"* Still Hurting - From ""The Last Five Years""",3522135,2678
