Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10855364,438
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2689106,10616
* Adore,71320334,22770
* All My Love,38826980,9715
* All My Love (Remix),83253964,11531
* All My Love - French Version,745119,124
* Arturo Sandoval,3931709,1397
* Bang Bang,1649380619,527722
* Bang Bang - 3LAU Extended Mix,110866,3
* Bang Bang - 3LAU Remix,24450141,2307
* Bang Bang - A Cappella,198151,285
* Bang Bang - Dada Life Remix,6431563,203
* Bang Bang - Imanos & Gramercy Remix,3253717,336
* Bang Bang - Kat Krazy Extended Mix,177273,5
* Bang Bang - Kat Krazy Remix,2469731,128
* Bang Bang - Super Stylers Remix,1508911,105
* Bang Bang - iLL BLU Mix Radio Edit,112819,4
* Bed (feat. Ariana Grande),322344138,38082
* Dance To This (feat. Ariana Grande),329545947,54287
* Dancing Through Life,92934131,59318
* Dear Old Shiz,34752793,15162
* Defying Gravity,202873341,153735
* Defying Gravity - Edit,21700348,31825
* Die For You (with Ariana Grande) - Remix,1261301073,506394
"* E più ti penso - From ""Once Upon A Time In America""",31301931,3368
* Every Day More Wicked,10799485,28418
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117340790,27008
* For Good,33305244,126842
* For Good - Edit,807284,9005
* For Good - Live from the Gershwin Theatre,10683077,26119
* For Good - Sing-Along,131924,606
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3785319,10020
* Get On Your Knees,98986539,12889
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63417306,24021
* Good as Hell (feat. Ariana Grande) - Remix,467633621,41633
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146799654,10943
* Hotel Rock Bottom (feat. Ariana Grande),2625896,2241
* I Don't Do Drugs (feat. Ariana Grande),232922081,58193
* I Don't Know Why (I Just Do),3704523,4865
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21466154,1111
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18427730,6064
"* Mama, I'm a Big Girl Now",15884823,2866
* Met Him Last Night,147866487,25360
* Met Him Last Night - Dave Audé Remix,10488990,1194
* My Favorite Part,434492625,161458
* No One Mourns the Wicked,85935516,50811
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135170705,4522
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1795208,1066
* One Short Day,47067828,23695
* Over And Over Again - Elephante Uptempo Radio Version,4901361,328
* Popular Song (MIKA & Ariana Grande),150980925,32650
* Quit,272274700,41586
* Rain On Me (with Ariana Grande),1216843143,221244
* Rain On Me (with Ariana Grande) - Arca Remix,5871048,1065
* Rain On Me - Purple Disco Machine Remix,3666862,893
* Rain On Me - Purple Disco Machine Remix - Edit,33814679,7285
* Rain On Me - Ralphi Rosario Remix,1406747,268
* Rain On Me - Ralphi Rosario Remix - Edit,2158951,581
* Research,38257017,8333
* Rule The World,63840945,10370
"* Santa, Can't You Hear Me",288292392,11826
