Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10296972,41215
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),1811541,42778
* Adore,69846631,32471
* All My Love,38331491,10141
* All My Love (Remix),82687867,11457
* All My Love - French Version,740222,93
* Arturo Sandoval,3861055,1715
* Bang Bang,1624588955,514389
* Bang Bang - 3LAU Extended Mix,110725,2
* Bang Bang - 3LAU Remix,24349821,2191
* Bang Bang - A Cappella,185244,296
* Bang Bang - Dada Life Remix,6422133,217
* Bang Bang - Imanos & Gramercy Remix,3237356,332
* Bang Bang - Kat Krazy Extended Mix,177035,7
* Bang Bang - Kat Krazy Remix,2464116,108
* Bang Bang - Super Stylers Remix,1502965,121
* Bang Bang - iLL BLU Mix Radio Edit,112662,3
* Bed (feat. Ariana Grande),320544022,41974
* Dance To This (feat. Ariana Grande),326639533,56104
* Dancing Through Life,89054799,127067
* Dear Old Shiz,33626096,36085
* Defying Gravity,193748820,279222
* Defying Gravity - Edit,19662689,86113
* Die For You (with Ariana Grande) - Remix,1237273646,495740
"* E più ti penso - From ""Once Upon A Time In America""",31149667,3595
* Every Day More Wicked,8230947,100910
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116004877,24865
* For Good,23158307,371552
* For Good - Edit,191248,22725
* For Good - Live from the Gershwin Theatre,8776309,71597
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3040929,27211
* Get On Your Knees,98346725,14752
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62377611,20636
* Good as Hell (feat. Ariana Grande) - Remix,465625877,40784
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146340777,9003
* Hotel Rock Bottom (feat. Ariana Grande),2515556,2236
* I Don't Do Drugs (feat. Ariana Grande),230130317,61587
* I Don't Know Why (I Just Do),3450137,6021
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),20960661,43696
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18139450,5504
"* Mama, I'm a Big Girl Now",15755618,2701
* Met Him Last Night,146627571,27990
* Met Him Last Night - Dave Audé Remix,10430774,1263
* My Favorite Part,428439658,111766
* No One Mourns the Wicked,82378977,117240
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),128099205,429454
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1737891,1248
* One Short Day,45405258,52098
* Over And Over Again - Elephante Uptempo Radio Version,4884106,335
* Popular Song,149295158,40349
* Quit,269684741,47174
* Rain On Me (with Ariana Grande),1206631576,202253
* Rain On Me (with Ariana Grande) - Arca Remix,5827211,957
* Rain On Me - Purple Disco Machine Remix,3631230,679
* Rain On Me - Purple Disco Machine Remix - Edit,33507886,7115
* Rain On Me - Ralphi Rosario Remix,1394287,268
* Rain On Me - Ralphi Rosario Remix - Edit,2129818,688
* Research,37827750,9243
* Rule The World,63304538,10970
"* Santa, Can't You Hear Me",257609858,1999091
"* Santa, Can't You Hear Me - Live",12836760,77033
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2062720696,1112528
"* Still Hurting - From ""The Last Five Years""",3415466,3743
* Sympathy is a knife featuring ariana grande,95531913,63216
* The Wizard And I - Live,6884310,4603
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1451932,7489
* Without Love,5043574,717
* Wonderful,8615598,128499
* You Can't Stop the Beat,10572786,1264
* You Don't Own Me (Feat. Ariana Grande),10262520,4469
34+35,1136499677,322763
34+35 - live from Vevo,392291,3648
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",286091663,54955
7 rings,2692624557,882650
7 rings (feat. 2 Chainz) - Remix,28462868,6472
7 rings - live,14617664,5296
A Little More Homework (feat. Graham Phillips) - Single Version,2996786,185
Almost Is Never Enough,367399350,119496
Almost Is Never Enough - Soundtrack Version,8860806,665
Baby I,165350334,58731
Baby I - Cosmic Dawn Radio Edit,218593,56
Baby I - Live from London,7353746,4601
Bad Decisions,117070056,28577
Bad To You (with Normani & Nicki Minaj),73198324,6806
Be Alright,323356357,54612
Be My Baby,134293051,82586
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",305284254,58986
Best Mistake,262427318,71074
Better Left Unsaid,36088960,10080
Brand New You (feat. Brynn Williams & Caitlin Gann),4593822,833
Break Free,1136746007,636759
Break Free - A Cappella,160885,331
Break Free - Zedd's Extended Mix,713319,2396
Break Your Heart Right Back,93560938,15336
Cadillac Song,4314308,4490
Come So Far (Got So Far to Go),5579807,479
Dangerous Woman,1500894782,771041
Daydreamin',227828553,87428
Daydreamin' - Live from London,7991251,4215
December,95704596,184892
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),415963043,61555
Everyday,708755749,452697
Focus,349615980,66713
God is a woman,1221743480,415425
Got Her Own (with Victoria Monét),18327739,3102
Greedy,335031810,129849
Hampstead,81100206,160271
Hampstead - a cappella,1186174,2906
Hampstead - instrumental,181305,554
Hands On Me,61584124,23458
Honeymoon Avenue,218618166,107996
Honeymoon Avenue - Live from London,13518837,7394
How I Look On You,40020244,12093
I Don't Care,67223062,13661
I'm Not That Girl (Reprise),6288747,73500
Into You,1821346554,1252369
Into You - 3LAU Remix,67097316,13568
Into You - Alex Ghenea Remix,19486062,5351
Intro,40918607,38596
Jason's Song (Gave It Away),36732656,12929
Just A Little Bit Of Your Heart,196488015,35196
Just Look Up (From Don't Look Up),84763416,9054
Knew Better / Forever Boy,111715323,28390
Last Christmas,308365962,1104223
Leave Me Lonely,122426465,29909
Let Me Love You,513383449,331219
Love Is Everything,31795318,115552
Love Me Harder,1246530163,999504
Love Me Harder - A Cappella,226005,452
Love Me Harder - Alex Ghenea Remix,551502,65
Love Me Harder - Gregor Salto Amsterdam Mix,119987,10
Love Me Harder - Instrumental,179101,1928
Lovin' It,43723512,10175
MONOPOLY (with Victoria Monét),200989584,25925
Moonlight,251516035,78813
My Everything,213875520,88663
NASA,341620299,62510
Nobody (with Chaka Khan),9981449,1590
Not Just On Christmas,38942834,137575
One Last Time,1954014779,1009807
One Last Time (Attends-Moi),12067307,4874
One Last Time - A Cappella,511276,1017
One Last Time - Gazzo Remix,529550,46
One Last Time - Instrumental,103624,265
Only 1,72525893,23939
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1225533,6334
Piano,77956630,12870
Popular,150836696,186879
Popular - Edit,5240395,19794
Popular - Live from the Dolby Theatre,782158,4333
Problem,1060758820,459561
Problem - A Cappella,1397346,1495
Problem - Dave Aude Twerk Edit,133333,14
Problem - Dawin Remix,9659352,1344
Problem - Kassiano Remix,1856789,68
Problem - Noodles & Devastator Remix,2572968,220
Problem - Wayne G Radio Edit,127475,17
Put Your Hearts Up,30215206,6280
R.E.M,219779119,90883
Right There,130697805,61358
Right There - 7th Heaven Radio Edit,275222,57
Right There - Live from London (feat. Big Sean),5909945,3059
Santa Baby,239895890,456284
Santa Tell Me,1435062404,4887603
Saturn Returns Interlude,85925039,44923
Saturn Returns Interlude - a cappella,386809,682
Saturn Returns Interlude - instrumental,338521,1733
Side To Side,1761684520,942488
Side To Side - Phantoms Remix,3871808,377
Side To Side - Slushii Remix,16729156,1779
Snow In California,77900571,202849
Sometimes,111653778,41418
Somewhere Over The Rainbow - Live From Manchester,19207207,4341
Step On Up,52424837,31200
Stuck with U (with Justin Bieber),1369700398,450206
Tattooed Heart,168433414,71017
Tattooed Heart - Live from London,9944445,8240
Thank Goodness - Live from the Dolby Theatre,2670451,20128
Thank Goodness / I Couldn't Be Happier,10813104,159496
The Girl in the Bubble,13345896,135832
The Way,558492357,237456
The Way - JdB Radio,115093,39
The Way - Live from London (feat. Mac Miller),15093862,8811
They Don't Know,111046982,11453
Thinking Bout You,171071095,68532
Too Close,4482663,4948
Touch It,199020660,104171
True Love,49528517,67453
What Is This Feeling?,148690539,210973
Why Try,130157051,35880
Winter Things,132857948,263138
Wit It This Christmas,47613428,70908
You Don't Know Me,60267352,12540
You'll Never Know,58166191,14953
"Zero To Hero - From ""Hercules""",32173212,3257
bad idea,321594619,84509
bad idea - live,14702257,4396
be alright - live,11790872,3109
better off,175041694,64181
blazed (feat. Pharrell Williams),70935273,13579
bloodline,571041735,765019
borderline (feat. Missy Elliott),86609035,27974
boyfriend (with Social House),1017330506,425328
break free - live,9628910,3736
"break up with your girlfriend, i'm bored",1097856222,265639
"break up with your girlfriend, i'm bored - live",13492623,3798
break your heart right back - live,8444295,2146
breathin,700815388,130637
breathin - live,15397997,7540
bye,290562299,253122
bye - a cappella,681255,1259
bye - instrumental,193245,628
dandelion,100800986,148891
dandelion - a cappella,706517,1177
dandelion - instrumental,218594,571
dangerous woman - live,11589163,4154
don't wanna break up again,187770543,136412
don't wanna break up again - a cappella,573919,1298
don't wanna break up again - instrumental,176050,612
don't wanna break up again - live version,6066445,5082
eternal sunshine,269830285,241355
eternal sunshine - a cappella,815647,1380
eternal sunshine - instrumental,251656,843
eternal sunshine - live version,6765457,6359
everytime,422344840,282949
everytime - live,12815458,6141
fake smile,243875122,45724
fake smile - live,9283056,2657
get well soon,129750023,28054
get well soon - live,7097054,2136
ghostin,315468873,150870
god is a woman - live,20456972,7034
goodnight n go,292095935,135660
goodnight n go - live,10712360,3505
i wish i hated you,159454943,166919
i wish i hated you - a cappella,683805,1423
i wish i hated you - instrumental,211416,771
imagine,462812514,116616
imperfect for you,143064186,109581
imperfect for you - a cappella,450667,928
imperfect for you - acoustic,15530796,6208
imperfect for you - instrumental,132078,495
imperfect for you - live version,4643385,5235
in my head,309918084,87554
in my head interlude - live,6962226,2120
into you - live,9465547,3747
intro (end of the world),565166439,311791
intro (end of the world) - a cappella,622072,1138
intro (end of the world) - extended,89781860,181309
intro (end of the world) - extended a cappella,621942,1126
intro (end of the world) - extended instrumental,301752,976
intro (end of the world) - instrumental,349745,1336
intro (end of the world) - live version,7766537,5703
just like magic,252069484,90838
love language,108852962,47904
love me harder - live,10077401,2969
main thing,48261395,25675
make up,171958242,35961
make up - live,8314000,2473
motive (with Doja Cat),594283393,162727
my hair,139333690,66054
my hair - live from Vevo,489530,4581
my heart belongs to daddy - live,7282745,1967
nasa - live,9804942,2481
nasty,223186047,123840
needy,490651553,820137
needy - live,11936285,5202
no tears left to cry,1515672298,504702
no tears left to cry - live,11201195,4696
obvious,137401127,54381
off the table (with The Weeknd),192998219,74976
off the table (with The Weeknd) - live from Vevo,502940,4638
only 1 - live,8675910,2693
ordinary things (feat. Nonna),95065637,63091
ordinary things (feat. Nonna) - a cappella,402976,753
ordinary things (feat. Nonna) - instrumental,147011,496
past life,72499160,114990
past life - a cappella,994246,1482
past life - instrumental,168668,469
pete davidson,136150256,21135
positions,1679496059,386504
positions - live from Vevo,466910,3897
pov,683091166,310651
pov - live from Vevo,589649,5669
r.e.m - live,11094540,3016
raindrops (an angel cried),142640888,18471
raindrops (an angel cried) - live,11784538,2715
right there - live,8724292,2454
safety net (feat. Ty Dolla $ign),242905351,147363
safety net (feat. Ty Dolla $ign) - live from Vevo,488966,4246
shut up,128248319,37248
side to side - live,11724120,3702
six thirty,110734951,43535
someone like u - interlude,30014889,13307
successful,184866983,52026
successful - live,9493779,2571
supernatural,380081117,558383
supernatural (with Troye Sivan) - remix,60658476,40248
supernatural - a cappella,1447443,3899
supernatural - instrumental,518986,1258
supernatural - live version,9487080,9771
sweetener,287973284,103762
sweetener - live,10789157,3212
tattooed heart - live,12406388,6732
test drive,118578880,33082
"thank u, next",2143598655,611855
"thank u, next - live",8264687,2548
the boy is mine,604881070,387623
"the boy is mine (with Brandy, Monica) - Remix",33996357,16201
"the boy is mine (with Brandy, Monica) - Remix a cappella",1799795,552
the boy is mine - a cappella,2268877,1620
the boy is mine - instrumental,935053,947
the light is coming (feat. Nicki Minaj),161296919,27031
the light is coming - live,7132571,2146
true story,146209609,92787
true story - a cappella,9461557,2709
true story - instrumental,145878,472
twilight zone,235008044,431777
twilight zone - a cappella,1626377,2235
twilight zone - instrumental,804180,1815
warm,81956461,134130
warm - a cappella,779649,1256
warm - instrumental,180560,508
we can't be friends (wait for your love),1750024741,1565484
we can't be friends (wait for your love) - a cappella,1745794,3067
we can't be friends (wait for your love) - acoustic (live from jungle city studios),14841143,11315
we can't be friends (wait for your love) - instrumental,672502,1635
we can't be friends (wait for your love) - live version,7337707,9073
we can't be friends (wait for your love) - string version,35497824,145185
we can't be friends (wait for your love) - string version instrumental,632648,1349
west side,119778820,56916
worst behavior,68648435,34450
"yes, and?",707855282,323538
"yes, and? (with Mariah Carey) - Remix",35683890,8542
"yes, and? - Felix Jaehn Remix",3015577,2693
"yes, and? - Jonas Blue Remix",1681818,5121
"yes, and? - The Blessed Madonna's Godsquad Mix",546710,511
"yes, and? - a cappella",2484659,3428
"yes, and? - edit",2703716,3104
"yes, and? - extended mix",7177402,2946
"yes, and? - extended mix instrumental",891494,226
"yes, and? - instrumental",1441486,797
"yes, and? - live version",4167036,3271
"yes, and? - slowed",783155,257
"yes, and? - sped up",2534060,694
you'll never know - live,8398963,2206
