Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10841483,728
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2322765,19948
* Adore,70887698,24828
* All My Love,38595822,9839
* All My Love (Remix),82973273,13291
* All My Love - French Version,742766,88
* Arturo Sandoval,3901873,1544
* Bang Bang,1638520715,571081
* Bang Bang - 3LAU Extended Mix,110794,3
* Bang Bang - 3LAU Remix,24403329,2232
* Bang Bang - A Cappella,192434,245
* Bang Bang - Dada Life Remix,6427169,208
* Bang Bang - Imanos & Gramercy Remix,3246356,360
* Bang Bang - Kat Krazy Extended Mix,177154,6
* Bang Bang - Kat Krazy Remix,2467089,137
* Bang Bang - Super Stylers Remix,1506219,107
* Bang Bang - iLL BLU Mix Radio Edit,112750,3
* Bed (feat. Ariana Grande),321544440,39781
* Dance To This (feat. Ariana Grande),328157972,55527
* Dancing Through Life,91546108,75170
* Dear Old Shiz,34373151,20731
* Defying Gravity,199513462,171439
* Defying Gravity - Edit,20940340,38328
* Die For You (with Ariana Grande) - Remix,1250285066,494542
"* E più ti penso - From ""Once Upon A Time In America""",31229443,3433
* Every Day More Wicked,10017646,48312
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116737533,28156
* For Good,29972483,201353
* For Good - Edit,565775,13500
* For Good - Live from the Gershwin Theatre,10027231,36377
* For Good - Sing-Along,117327,877
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3542178,14050
* Get On Your Knees,98706503,13267
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62935629,21380
* Good as Hell (feat. Ariana Grande) - Remix,466734454,45463
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146588041,9613
* Hotel Rock Bottom (feat. Ariana Grande),2578387,2237
* I Don't Do Drugs (feat. Ariana Grande),231664897,61130
* I Don't Know Why (I Just Do),3596094,5214
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21439733,1428
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18307234,5694
"* Mama, I'm a Big Girl Now",15823813,3026
* Met Him Last Night,147323957,26926
* Met Him Last Night - Dave Audé Remix,10463439,1393
* My Favorite Part,431469209,119590
* No One Mourns the Wicked,84700706,68222
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135041314,9196
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1770621,1321
* One Short Day,46482102,31937
* Over And Over Again - Elephante Uptempo Radio Version,4895123,277
* Popular Song,150233430,36403
* Quit,271484548,44000
* Rain On Me (with Ariana Grande),1212244072,221712
* Rain On Me (with Ariana Grande) - Arca Remix,5850580,1012
* Rain On Me - Purple Disco Machine Remix,3650428,731
* Rain On Me - Purple Disco Machine Remix - Edit,33678822,7082
* Rain On Me - Ralphi Rosario Remix,1401448,247
* Rain On Me - Ralphi Rosario Remix - Edit,2146508,690
* Research,38079205,9609
* Rule The World,63596629,10629
"* Santa, Can't You Hear Me",287870502,34257
"* Santa, Can't You Hear Me - Live",13789600,3395
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2095005578,1194281
"* Still Hurting - From ""The Last Five Years""",3499257,2752
* Sympathy is a knife featuring ariana grande,97108620,60767
* The Wizard And I - Live,6983636,2987
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1564254,2951
* Without Love,5062289,777
* Wonderful,11041278,72393
