Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10832376,1732
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2284240,19940
* Adore,70415953,28466
* All My Love,38503670,9818
* All My Love (Remix),82862527,9897
* All My Love - French Version,741869,93
* Arturo Sandoval,3888774,1447
* Bang Bang,1633782064,503058
* Bang Bang - 3LAU Extended Mix,110765,1
* Bang Bang - 3LAU Remix,24383485,2284
* Bang Bang - A Cappella,190185,230
* Bang Bang - Dada Life Remix,6425330,210
* Bang Bang - Imanos & Gramercy Remix,3243063,401
* Bang Bang - Kat Krazy Extended Mix,177108,2
* Bang Bang - Kat Krazy Remix,2465971,117
* Bang Bang - Super Stylers Remix,1505132,118
* Bang Bang - iLL BLU Mix Radio Edit,112718,2
* Bed (feat. Ariana Grande),321196889,37211
* Dance To This (feat. Ariana Grande),327710236,51334
* Dancing Through Life,90819940,87646
* Dear Old Shiz,34167161,24563
* Defying Gravity,197892193,189324
* Defying Gravity - Edit,20565965,47731
* Die For You (with Ariana Grande) - Remix,1245875019,478687
"* E più ti penso - From ""Once Upon A Time In America""",31205409,3495
* Every Day More Wicked,9532040,59699
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116482825,29979
* For Good,28023351,227087
* For Good - Edit,408515,12494
* For Good - Live from the Gershwin Theatre,9671908,43760
* For Good - Sing-Along,106209,1080
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3399450,17404
* Get On Your Knees,98581415,14774
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62748166,20466
* Good as Hell (feat. Ariana Grande) - Remix,466340349,41688
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146503937,8807
* Hotel Rock Bottom (feat. Ariana Grande),2556372,2771
* I Don't Do Drugs (feat. Ariana Grande),231138915,57560
* I Don't Know Why (I Just Do),3549250,5559
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21424081,2666
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18250285,5392
"* Mama, I'm a Big Girl Now",15799180,2432
* Met Him Last Night,147076750,30807
* Met Him Last Night - Dave Audé Remix,10451113,1481
* My Favorite Part,430391818,107436
* No One Mourns the Wicked,84048748,76467
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),134929552,20598
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1757409,1324
* One Short Day,46174082,35816
* Over And Over Again - Elephante Uptempo Radio Version,4889025,258
* Popular Song,149925010,35894
* Quit,270648531,48189
* Rain On Me (with Ariana Grande),1210266514,215737
* Rain On Me (with Ariana Grande) - Arca Remix,5842510,821
* Rain On Me - Purple Disco Machine Remix,3643791,711
* Rain On Me - Purple Disco Machine Remix - Edit,33622345,6058
* Rain On Me - Ralphi Rosario Remix,1399024,280
* Rain On Me - Ralphi Rosario Remix - Edit,2140523,641
* Research,37953204,8344
* Rule The World,63498836,11298
"* Santa, Can't You Hear Me",287437270,75137
"* Santa, Can't You Hear Me - Live",13752834,5735
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2084731917,1190493
"* Still Hurting - From ""The Last Five Years""",3473131,3092
* Sympathy is a knife featuring ariana grande,96572931,58485
* The Wizard And I - Live,6955724,3559
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1531651,3807
* Without Love,5055734,645
* Wonderful,10357289,82858
* You Can't Stop the Beat,10594794,1267
* You Don't Own Me (Feat. Ariana Grande),10316248,4132
34+35,1142063486,328819
34+35 - live from Vevo,446053,3301
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",287020943,57201
7 rings,2709659738,939932
7 rings (feat. 2 Chainz) - Remix,28576747,6424
7 rings - live,14702690,4808
A Little More Homework (feat. Graham Phillips) - Single Version,3000763,208
Almost Is Never Enough,369386602,119498
Almost Is Never Enough - Soundtrack Version,8872877,712
Baby I,166224220,55264
Baby I - Cosmic Dawn Radio Edit,219347,34
Baby I - Live from London,7419855,4058
Bad Decisions,117524552,29681
Bad To You (with Normani & Nicki Minaj),73304911,5522
Be Alright,324301972,58865
Be My Baby,135601999,73530
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",306202911,53484
Best Mistake,263670998,78964
Better Left Unsaid,36254585,9945
Brand New You (feat. Brynn Williams & Caitlin Gann),4604136,650
Break Free,1147284408,679329
Break Free - A Cappella,166936,352
Break Free - Zedd's Extended Mix,764393,2661
Break Your Heart Right Back,93813049,15049
Cadillac Song,4386580,4267
Come So Far (Got So Far to Go),5588241,472
Dangerous Woman,1512940025,666449
Daydreamin',229265360,82005
Daydreamin' - Live from London,8059086,4024
December,98580612,34804
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),416979178,59162
