Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10865433,376
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2863039,7322
* Adore,71851226,23082
* All My Love,39042068,8819
* All My Love (Remix),83505713,12568
* All My Love - French Version,747271,96
* Arturo Sandoval,3962644,1403
* Bang Bang,1660618015,420829
* Bang Bang - 3LAU Extended Mix,110932,2
* Bang Bang - 3LAU Remix,24497057,1533
* Bang Bang - A Cappella,205860,338
* Bang Bang - Dada Life Remix,6435743,145
* Bang Bang - Imanos & Gramercy Remix,3260957,266
* Bang Bang - Kat Krazy Extended Mix,177355,4
* Bang Bang - Kat Krazy Remix,2472248,91
* Bang Bang - Super Stylers Remix,1511323,80
* Bang Bang - iLL BLU Mix Radio Edit,112866,2
* Bed (feat. Ariana Grande),323106116,32806
* Dance To This (feat. Ariana Grande),330849048,53076
* Dancing Through Life,94101042,43427
* Dear Old Shiz,35047986,11285
* Defying Gravity,205780381,108417
* Defying Gravity - Edit,22264295,16747
* Die For You (with Ariana Grande) - Remix,1272803967,459061
"* E più ti penso - From ""Once Upon A Time In America""",31401072,3611
* Every Day More Wicked,11330263,19198
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117938090,23339
* For Good,35668266,81438
* For Good - Edit,965475,5158
* For Good - Live from the Gershwin Theatre,11176633,16576
* For Good - Sing-Along,141543,312
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3967289,6815
* Get On Your Knees,99259727,10551
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63948566,24817
* Good as Hell (feat. Ariana Grande) - Remix,468578543,35929
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",147029309,10094
* Hotel Rock Bottom (feat. Ariana Grande),2674714,2188
* I Don't Do Drugs (feat. Ariana Grande),234243159,56157
* I Don't Know Why (I Just Do),3810355,4119
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21488571,780
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18617633,6447
"* Mama, I'm a Big Girl Now",15945249,2576
* Met Him Last Night,148423763,21320
* Met Him Last Night - Dave Audé Remix,10515013,1137
* My Favorite Part,437821650,130234
* No One Mourns the Wicked,86929087,37405
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135264594,3922
