Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10862124,402
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2797676,8351
* Adore,71851226,23082
* All My Love,38970432,8656
* All My Love (Remix),83413920,10791
* All My Love - French Version,746546,109
* Arturo Sandoval,3951242,1297
* Bang Bang,1656766400,499244
* Bang Bang - 3LAU Extended Mix,110912,2
* Bang Bang - 3LAU Remix,24481061,2025
* Bang Bang - A Cappella,202743,389
* Bang Bang - Dada Life Remix,6434294,158
* Bang Bang - Imanos & Gramercy Remix,3258360,288
* Bang Bang - Kat Krazy Extended Mix,177328,7
* Bang Bang - Kat Krazy Remix,2471428,106
* Bang Bang - Super Stylers Remix,1510509,97
* Bang Bang - iLL BLU Mix Radio Edit,112852,3
* Bed (feat. Ariana Grande),322849456,34154
* Dance To This (feat. Ariana Grande),330423269,57937
* Dancing Through Life,93714730,50966
* Dear Old Shiz,34951438,13522
* Defying Gravity,204826083,126170
* Defying Gravity - Edit,22080895,26405
* Die For You (with Ariana Grande) - Remix,1268978305,484704
"* E più ti penso - From ""Once Upon A Time In America""",31375793,3480
* Every Day More Wicked,11162272,22163
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117733540,27984
* For Good,34927793,95078
* For Good - Edit,917078,6024
* For Good - Live from the Gershwin Theatre,11019482,19712
* For Good - Sing-Along,138598,442
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3908388,7280
* Get On Your Knees,99167694,12528
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63761733,24317
* Good as Hell (feat. Ariana Grande) - Remix,468253819,43222
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146950155,10200
* Hotel Rock Bottom (feat. Ariana Grande),2656819,1992
* I Don't Do Drugs (feat. Ariana Grande),233759842,60602
* I Don't Know Why (I Just Do),3774042,4718
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21481379,1100
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18553160,6150
"* Mama, I'm a Big Girl Now",15924272,2721
* Met Him Last Night,148225640,24247
* Met Him Last Night - Dave Audé Remix,10506128,1063
* My Favorite Part,436617895,152010
* No One Mourns the Wicked,86600094,44364
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135233722,4054
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1818222,1153
* One Short Day,47384856,20901
* Over And Over Again - Elephante Uptempo Radio Version,4907531,324
* Popular Song (MIKA & Ariana Grande),151447217,29583
* Quit,273246805,42265
* Rain On Me (with Ariana Grande),1219990179,209780
* Rain On Me (with Ariana Grande) - Arca Remix,5885309,942
* Rain On Me - Purple Disco Machine Remix,3678175,804
* Rain On Me - Purple Disco Machine Remix - Edit,33904603,6582
* Rain On Me - Ralphi Rosario Remix,1410450,258
* Rain On Me - Ralphi Rosario Remix - Edit,2167462,523
* Research,38387569,8462
* Rule The World,63995968,9772
"* Santa, Can't You Hear Me",288448467,9963
"* Santa, Can't You Hear Me - Live",13873875,1773
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2135190679,979845
"* Still Hurting - From ""The Last Five Years""",3587699,2037
* Sympathy is a knife featuring ariana grande,99314513,58660
* The Wizard And I - Live,7064093,1970
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1647986,1582
* Without Love,5090056,705
* Wonderful,12866605,36279
* You Can't Stop the Beat,10653724,1389
* You Don't Own Me (Feat. Ariana Grande),10431628,3018
34+35,1155914550,280786
34+35 - live from Vevo,575862,2577
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",289493834,55252
7 rings,2750090219,798280
7 rings (feat. 2 Chainz) - Remix,28814342,5570
7 rings - live,14917081,3989
A Little More Homework (feat. Graham Phillips) - Single Version,3010842,204
Almost Is Never Enough (with Nathan Sykes),375444883,127071
Almost Is Never Enough - Soundtrack Version,8910573,795
Baby I,168628885,49096
Baby I - Cosmic Dawn Radio Edit,221011,38
Baby I - Live from London,7594316,3547
Bad Decisions,118777519,26104
Bad To You (with Normani & Nicki Minaj),73569407,5881
Be Alright,326807495,48967
Be My Baby,138991031,73761
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",308664699,50093
Best Mistake,267246876,76599
Better Left Unsaid,36699976,8950
Brand New You (feat. Brynn Williams & Caitlin Gann),4632431,543
Break Free,1175132219,634069
Break Free - A Cappella,182896,591
Break Free - Zedd's Extended Mix,889025,3742
Break Your Heart Right Back,94523486,13963
Cadillac Song,4576775,3807
Come So Far (Got So Far to Go),5610336,494
Dangerous Woman,1544967319,682622
Daydreamin',233051172,77918
Daydreamin' - Live from London,8237983,3548
December,99388198,11347
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),419720007,65150
Everyday,736333405,395698
Focus,354117111,78456
God is a woman,1245221959,352385
Got Her Own (with Victoria Monét),18532877,3501
Greedy,343945845,142930
Hampstead,93103171,167533
Hampstead - a cappella,1348243,2034
Hampstead - instrumental,216775,483
Hands On Me,63096407,20501
Honeymoon Avenue,224845995,97502
Honeymoon Avenue - Live from London,13952787,6515
How I Look On You,40711325,10474
I Don't Care,68065640,11971
I'm Not That Girl (Reprise),8378611,14735
Into You,1893927251,1013099
Into You - 3LAU Remix,67846987,11903
Into You - Alex Ghenea Remix,19810793,4447
Intro,41628691,11241
Jason's Song (Gave It Away),37502371,10950
Just A Little Bit Of Your Heart,198467705,27913
Just Look Up (From Don't Look Up),85288861,7121
Knew Better / Forever Boy,113318709,23416
Last Christmas,325932616,14558
Leave Me Lonely,124265966,26599
Let Me Love You,535494010,322752
Love Is Everything,33332152,1450
Love Me Harder,1309502442,1002268
Love Me Harder - A Cappella,259496,1046
Love Me Harder - Alex Ghenea Remix,556263,70
Love Me Harder - Gregor Salto Amsterdam Mix,120440,9
Love Me Harder - Instrumental,252259,967
Lovin' It,44362479,9386
MONOPOLY (with Victoria Monét),202572016,22563
Moonlight,256382854,72634
My Everything,218789184,70988
NASA,345310760,52947
Nobody (with Chaka Khan),10079462,1643
Not Just On Christmas,40846502,1876
One Last Time,2014193585,856314
One Last Time (Attends-Moi),12381559,5098
One Last Time - A Cappella,571382,1317
One Last Time - Gazzo Remix,532950,59
One Last Time - Instrumental,119890,229
Only 1,73992709,23654
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1428006,1576
Piano,78721775,11600
Popular,159342423,94474
Popular - Edit,5631930,3200
Popular - Live from the Dolby Theatre,906295,1061
Problem,1088661664,450366
Problem - A Cappella,1488413,1494
Problem - Dave Aude Twerk Edit,133985,13
