Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10853453,551
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2606003,12450
* Adore,71320334,22770
* All My Love,38786170,9043
* All My Love (Remix),83206182,8884
* All My Love - French Version,744659,105
* Arturo Sandoval,3925973,1244
* Bang Bang,1647391996,459137
* Bang Bang - 3LAU Extended Mix,110856,7
* Bang Bang - 3LAU Remix,24441107,2071
* Bang Bang - A Cappella,196972,244
* Bang Bang - Dada Life Remix,6430706,194
* Bang Bang - Imanos & Gramercy Remix,3252383,337
* Bang Bang - Kat Krazy Extended Mix,177256,3
* Bang Bang - Kat Krazy Remix,2469191,120
* Bang Bang - Super Stylers Remix,1508474,119
* Bang Bang - iLL BLU Mix Radio Edit,112810,5
* Bed (feat. Ariana Grande),322200213,32433
* Dance To This (feat. Ariana Grande),329328799,56553
* Dancing Through Life,92697984,58281
* Dear Old Shiz,34692354,14938
* Defying Gravity,202234015,172033
* Defying Gravity - Edit,21580122,31053
* Die For You (with Ariana Grande) - Remix,1259248444,466480
"* E più ti penso - From ""Once Upon A Time In America""",31301931,3368
* Every Day More Wicked,10682201,29870
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117233073,26191
* For Good,32781487,133151
* For Good - Edit,770811,9422
* For Good - Live from the Gershwin Theatre,10575085,27799
* For Good - Sing-Along,129759,604
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3745022,9687
* Get On Your Knees,98938310,11459
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63327725,20633
* Good as Hell (feat. Ariana Grande) - Remix,467468033,39989
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146759743,8382
* Hotel Rock Bottom (feat. Ariana Grande),2617518,1614
* I Don't Do Drugs (feat. Ariana Grande),232691042,52594
* I Don't Know Why (I Just Do),3685681,4287
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21461815,1049
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18427730,6064
"* Mama, I'm a Big Girl Now",15873836,2615
* Met Him Last Night,147761897,23573
* Met Him Last Night - Dave Audé Remix,10484431,953
* My Favorite Part,433895513,111903
* No One Mourns the Wicked,85735591,51928
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135151534,4704
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1795208,1066
* One Short Day,46972424,23350
* Over And Over Again - Elephante Uptempo Radio Version,4901361,328
* Popular Song (MIKA & Ariana Grande),150847525,31838
* Quit,272274700,41586
* Rain On Me (with Ariana Grande),1215940519,189225
* Rain On Me (with Ariana Grande) - Arca Remix,5866889,755
* Rain On Me - Purple Disco Machine Remix,3663824,679
* Rain On Me - Purple Disco Machine Remix - Edit,33789220,5880
* Rain On Me - Ralphi Rosario Remix,1405670,232
* Rain On Me - Ralphi Rosario Remix - Edit,2156551,584
* Research,38223682,9440
* Rule The World,63797499,10376
"* Santa, Can't You Hear Me",288243364,12232
