Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,9992922,25501
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),1476358,89384
* Adore,69846631,32471
* All My Love,38242493,9599
* All My Love (Remix),82594007,9816
* All My Love - French Version,739390,83
* Arturo Sandoval,3845502,1323
* Bang Bang,1620213834,485713
* Bang Bang - 3LAU Extended Mix,110700,4
* Bang Bang - 3LAU Remix,24330730,2293
* Bang Bang - A Cappella,182295,432
* Bang Bang - Dada Life Remix,6420373,223
* Bang Bang - Imanos & Gramercy Remix,3234390,361
* Bang Bang - Kat Krazy Extended Mix,176972,1
* Bang Bang - Kat Krazy Remix,2463064,125
* Bang Bang - Super Stylers Remix,1501816,115
* Bang Bang - iLL BLU Mix Radio Edit,112637,2
* Bed (feat. Ariana Grande),320166912,40843
* Dance To This (feat. Ariana Grande),326280291,51484
* Dancing Through Life,87824583,161923
* Dear Old Shiz,33254261,50343
* Defying Gravity,191025730,337417
* Defying Gravity - Edit,18906944,93498
* Die For You (with Ariana Grande) - Remix,1232612168,541406
"* E più ti penso - From ""Once Upon A Time In America""",31104919,3928
* Every Day More Wicked,7197639,141400
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",115786121,24064
* For Good,19028008,548853
* For Good - Live from the Gershwin Theatre,7985106,98341
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,2777807,34599
* Get On Your Knees,98222493,13513
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62200780,19479
* Good as Hell (feat. Ariana Grande) - Remix,465259719,43215
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146263725,8245
* Hotel Rock Bottom (feat. Ariana Grande),2493626,3153
* I Don't Do Drugs (feat. Ariana Grande),229582452,63073
* I Don't Know Why (I Just Do),3393055,6738
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),20656010,29291
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18084405,6264
"* Mama, I'm a Big Girl Now",15731433,2606
* Met Him Last Night,146411571,25207
* Met Him Last Night - Dave Audé Remix,10420260,1135
* My Favorite Part,427411980,142926
* No One Mourns the Wicked,81251835,147814
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),124745707,371537
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1717021,1740
* One Short Day,44879086,69241
* Over And Over Again - Elephante Uptempo Radio Version,4884106,335
* Popular Song,148928720,42421
* Quit,269684741,47174
* Rain On Me (with Ariana Grande),1204681610,222473
* Rain On Me (with Ariana Grande) - Arca Remix,5819030,862
* Rain On Me - Purple Disco Machine Remix,3625223,713
* Rain On Me - Purple Disco Machine Remix - Edit,33450713,6670
* Rain On Me - Ralphi Rosario Remix,1391828,305
* Rain On Me - Ralphi Rosario Remix - Edit,2124213,725
* Research,37700592,9426
* Rule The World,63216353,9091
"* Santa, Can't You Hear Me",241300660,1516283
"* Santa, Can't You Hear Me - Live",12239520,58836
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2053016294,1141826
"* Still Hurting - From ""The Last Five Years""",3381000,5314
* Sympathy is a knife featuring ariana grande,94948994,68655
* The Wizard And I - Live,6839272,5754
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1373701,10866
* Without Love,5037500,705
* Wonderful,7310124,181453
* You Can't Stop the Beat,10562351,1187
* You Don't Own Me (Feat. Ariana Grande),10217821,4958
34+35,1133707937,305289
34+35 - live from Vevo,359518,4058
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",285613351,53434
7 rings,2684539918,952932
7 rings (feat. 2 Chainz) - Remix,28411302,5811
7 rings - live,14573420,4529
A Little More Homework (feat. Graham Phillips) - Single Version,2994962,216
Almost Is Never Enough,366347682,116781
Almost Is Never Enough - Soundtrack Version,8854922,648
Baby I,164844767,56411
Baby I - Cosmic Dawn Radio Edit,218215,46
Baby I - Live from London,7316083,4387
Bad Decisions,116827253,28694
Bad To You (with Normani & Nicki Minaj),73143544,5888
Be Alright,322851241,57237
Be My Baby,133581526,76541
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",304773602,58870
Best Mistake,261703929,74123
Better Left Unsaid,36003283,10106
Brand New You (feat. Brynn Williams & Caitlin Gann),4586574,996
Break Free,1131341697,519584
Break Free - A Cappella,157855,336
Break Free - Zedd's Extended Mix,692879,1170
Break Your Heart Right Back,93423505,16676
Cadillac Song,4277891,4126
Come So Far (Got So Far to Go),5575575,517
Dangerous Woman,1494257097,725946
Daydreamin',227011991,98342
Daydreamin' - Live from London,7954573,4225
December,93950662,176138
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),415398902,61253
Everyday,704729798,421849
Focus,349034954,77458
God is a woman,1218332555,394341
Got Her Own (with Victoria Monét),18300858,2973
Greedy,333743433,144359
Hampstead,79648064,185634
Hampstead - a cappella,1160617,3309
Hampstead - instrumental,176191,676
Hands On Me,61384599,23511
Honeymoon Avenue,217655934,110307
Honeymoon Avenue - Live from London,13457560,7071
How I Look On You,39921342,10629
I Don't Care,67104734,13483
I'm Not That Girl (Reprise),5516884,110278
Into You,1811269068,1092469
Into You - 3LAU Remix,66989216,12072
Into You - Alex Ghenea Remix,19440171,5520
Intro,40817597,36478
Jason's Song (Gave It Away),36621909,13316
Just A Little Bit Of Your Heart,196191092,35202
Just Look Up (From Don't Look Up),84688063,8823
Knew Better / Forever Boy,111469098,28056
Last Christmas,299146988,841929
Leave Me Lonely,122165506,28969
Let Me Love You,510400584,333342
Love Is Everything,30909095,85663
Love Me Harder,1238630182,761256
Love Me Harder - A Cappella,221810,450
Love Me Harder - Alex Ghenea Remix,550825,69
Love Me Harder - Gregor Salto Amsterdam Mix,119909,9
Love Me Harder - Instrumental,165916,634
Lovin' It,43631626,10797
MONOPOLY (with Victoria Monét),200772910,22587
Moonlight,250836380,80393
My Everything,213150110,85537
NASA,341068557,64608
Nobody (with Chaka Khan),9967382,1545
Not Just On Christmas,37774570,123351
One Last Time,1945349562,966920
One Last Time (Attends-Moi),12023886,4126
One Last Time - A Cappella,503078,966
One Last Time - Gazzo Remix,529047,45
One Last Time - Instrumental,101462,254
Only 1,72300759,26748
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1161441,8734
Piano,77843598,14221
Popular,148760496,266431
Popular - Edit,5073453,21675
Popular - Live from the Dolby Theatre,739025,6390
Problem,1056740798,383440
Problem - A Cappella,1383269,1620
Problem - Dave Aude Twerk Edit,133228,15
Problem - Dawin Remix,9648155,1312
Problem - Kassiano Remix,1856215,59
Problem - Noodles & Devastator Remix,2570875,229
Problem - Wayne G Radio Edit,127364,14
Put Your Hearts Up,30166548,5551
R.E.M,219055466,86139
Right There,130183517,56039
Right There - 7th Heaven Radio Edit,274776,50
Right There - Live from London (feat. Big Sean),5882851,3190
Santa Baby,236403291,321895
Santa Tell Me,1395004759,3789530
Saturn Returns Interlude,85517222,52604
Saturn Returns Interlude - a cappella,380214,815
Saturn Returns Interlude - instrumental,328196,1354
Side To Side,1753628384,864359
Side To Side - Phantoms Remix,3868336,402
Side To Side - Slushii Remix,16713188,1904
Snow In California,76369902,141368
Sometimes,111321926,36434
Somewhere Over The Rainbow - Live From Manchester,19166098,5297
Step On Up,52178425,27409
Stuck with U (with Justin Bieber),1365470684,476073
Tattooed Heart,167849133,65013
Tattooed Heart - Live from London,9868497,9409
Thank Goodness - Live from the Dolby Theatre,2473023,27068
Thank Goodness / I Couldn't Be Happier,9201747,223427
The Girl in the Bubble,11988798,190881
The Way,556247185,231537
The Way - JdB Radio,114771,37
The Way - Live from London (feat. Mac Miller),15018721,8818
They Don't Know,110941391,11781
Thinking Bout You,170475179,68859
Too Close,4437693,5465
Touch It,198165393,88876
True Love,48891270,67883
What Is This Feeling?,146650892,267421
Why Try,129855086,35190
Winter Things,130642304,217270
Wit It This Christmas,46969218,66613
You Don't Know Me,60152327,14522
You'll Never Know,58033082,15130
"Zero To Hero - From ""Hercules""",32141558,3715
bad idea,320732175,84754
bad idea - live,14664850,4389
be alright - live,11764646,2902
better off,174462101,65678
blazed (feat. Pharrell Williams),70817254,13296
bloodline,564490944,744188
borderline (feat. Missy Elliott),86369515,25998
boyfriend (with Social House),1013501199,403107
break free - live,9597478,3722
"break up with your girlfriend, i'm bored",1095615275,245111
"break up with your girlfriend, i'm bored - live",13460122,3679
break your heart right back - live,8425318,2152
breathin,699502348,153717
breathin - live,15340765,6170
bye,288418727,251213
bye - a cappella,670172,1380
bye - instrumental,187497,739
dandelion,99461790,175544
dandelion - a cappella,696398,1449
dandelion - instrumental,213148,699
dangerous woman - live,11550923,4076
don't wanna break up again,186577859,144677
don't wanna break up again - a cappella,563151,1373
