Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10838290,868
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2322765,19948
* Adore,70887698,24828
* All My Love,38556466,9595
* All My Love (Remix),82923512,13759
* All My Love - French Version,742348,85
* Arturo Sandoval,3896188,1470
* Bang Bang,1636393911,478516
* Bang Bang - 3LAU Extended Mix,110784,4
* Bang Bang - 3LAU Remix,24394071,1590
* Bang Bang - A Cappella,191479,220
* Bang Bang - Dada Life Remix,6426334,182
* Bang Bang - Imanos & Gramercy Remix,3244890,317
* Bang Bang - Kat Krazy Extended Mix,177138,7
* Bang Bang - Kat Krazy Remix,2466572,95
* Bang Bang - Super Stylers Remix,1505752,115
* Bang Bang - iLL BLU Mix Radio Edit,112731,4
* Bed (feat. Ariana Grande),321392827,38309
* Dance To This (feat. Ariana Grande),327935863,56406
* Dancing Through Life,91234212,76116
* Dear Old Shiz,34287625,22355
* Defying Gravity,198815512,174103
* Defying Gravity - Edit,20780620,36924
* Die For You (with Ariana Grande) - Remix,1248300963,461817
"* E più ti penso - From ""Once Upon A Time In America""",31229443,3433
* Every Day More Wicked,9816629,50388
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116626773,26365
* For Good,29135025,204090
* For Good - Edit,511775,14335
* For Good - Live from the Gershwin Theatre,9872377,35193
* For Good - Sing-Along,113819,905
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3483292,13776
* Get On Your Knees,98653973,13460
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62851119,22018
* Good as Hell (feat. Ariana Grande) - Remix,466559189,36820
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146551732,9283
* Hotel Rock Bottom (feat. Ariana Grande),2569026,2481
* I Don't Do Drugs (feat. Ariana Grande),231432617,58600
* I Don't Know Why (I Just Do),3574681,4914
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21433660,1577
