Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10835430,1471
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2322765,19948
* Adore,70415953,28466
* All My Love,38525480,11262
* All My Love (Remix),82885828,12350
* All My Love - French Version,742062,96
* Arturo Sandoval,3891688,1381
* Bang Bang,1634858045,543093
* Bang Bang - 3LAU Extended Mix,110772,3
* Bang Bang - 3LAU Remix,24388343,2357
* Bang Bang - A Cappella,190710,273
* Bang Bang - Dada Life Remix,6425736,206
* Bang Bang - Imanos & Gramercy Remix,3243824,385
* Bang Bang - Kat Krazy Extended Mix,177120,4
* Bang Bang - Kat Krazy Remix,2466212,117
* Bang Bang - Super Stylers Remix,1505361,105
* Bang Bang - iLL BLU Mix Radio Edit,112724,4
* Bed (feat. Ariana Grande),321275143,39543
* Dance To This (feat. Ariana Grande),327935863,56406
* Dancing Through Life,90991940,84940
* Dear Old Shiz,34216078,24320
* Defying Gravity,198263458,185017
* Defying Gravity - Edit,20655290,46182
* Die For You (with Ariana Grande) - Remix,1246855958,492626
"* E più ti penso - From ""Once Upon A Time In America""",31205409,3495
* Every Day More Wicked,9652351,59059
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116541785,28954
* For Good,28489197,231731
* For Good - Edit,454435,11480
* For Good - Live from the Gershwin Theatre,9758689,43391
* For Good - Sing-Along,110197,997
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3437486,18930
* Get On Your Knees,98611812,14993
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62788773,20461
* Good as Hell (feat. Ariana Grande) - Remix,466430419,46531
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146522889,9532
* Hotel Rock Bottom (feat. Ariana Grande),2561725,2630
* I Don't Do Drugs (feat. Ariana Grande),231258759,59694
* I Don't Know Why (I Just Do),3559809,5095
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21428417,1972
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18250285,5392
"* Mama, I'm a Big Girl Now",15804353,2679
* Met Him Last Night,147137800,29911
* Met Him Last Night - Dave Audé Remix,10453999,1422
* My Favorite Part,430648216,135535
* No One Mourns the Wicked,84202106,76144
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),134962737,14742
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1757409,1324
* One Short Day,46247071,36634
* Over And Over Again - Elephante Uptempo Radio Version,4889025,258
* Popular Song,149996358,34241
* Quit,270648531,48189
* Rain On Me (with Ariana Grande),1210737538,239569
* Rain On Me (with Ariana Grande) - Arca Remix,5844365,967
* Rain On Me - Purple Disco Machine Remix,3645348,803
* Rain On Me - Purple Disco Machine Remix - Edit,33636129,6712
* Rain On Me - Ralphi Rosario Remix,1399604,300
* Rain On Me - Ralphi Rosario Remix - Edit,2141875,705
* Research,38011936,8390
* Rule The World,63521554,11495
"* Santa, Can't You Hear Me",287556102,54034
"* Santa, Can't You Hear Me - Live",13762480,4692
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2087047978,1161319
"* Still Hurting - From ""The Last Five Years""",3479030,2886
* Sympathy is a knife featuring ariana grande,96692517,59978
* The Wizard And I - Live,6962191,3346
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1540905,5010
* Without Love,5057251,778
* Wonderful,10523014,81539
* You Can't Stop the Beat,10597472,1317
* You Don't Own Me (Feat. Ariana Grande),10316248,4132
34+35,1142717367,330147
34+35 - live from Vevo,452443,3308
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",287129860,54957
7 rings,2711474411,916571
7 rings (feat. 2 Chainz) - Remix,28587816,5378
7 rings - live,14712446,4831
A Little More Homework (feat. Graham Phillips) - Single Version,3001244,239
Almost Is Never Enough,369647910,127262
Almost Is Never Enough - Soundtrack Version,8874462,828
Baby I,166330604,50399
Baby I - Cosmic Dawn Radio Edit,219427,42
Baby I - Live from London,7427918,4116
Bad Decisions,117581379,27935
Bad To You (with Normani & Nicki Minaj),73316802,6174
Be Alright,324420706,59476
Be My Baby,135759466,78275
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",306315167,55784
Best Mistake,263826124,76989
Better Left Unsaid,36274830,10093
Brand New You (feat. Brynn Williams & Caitlin Gann),4605524,708
Break Free,1148599159,644285
Break Free - A Cappella,167523,281
Break Free - Zedd's Extended Mix,769593,2554
Break Your Heart Right Back,93844791,16250
Cadillac Song,4395873,4611
Come So Far (Got So Far to Go),5589254,523
Dangerous Woman,1514263185,668140
Daydreamin',229435754,82647
Daydreamin' - Live from London,8067222,4131
December,98643963,31126
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),417099151,60594
Everyday,717440497,456039
Focus,350920204,71554
God is a woman,1228933600,381049
Got Her Own (with Victoria Monét),18388097,3313
Greedy,337542871,136890
Hampstead,84968786,236520
Hampstead - a cappella,1238713,2739
Hampstead - instrumental,192368,731
Hands On Me,62018452,27026
Honeymoon Avenue,220451721,91743
Honeymoon Avenue - Live from London,13651248,6959
How I Look On You,40239860,11486
I Don't Care,67482609,14861
I'm Not That Girl (Reprise),7318142,44332
Into You,1843422375,1151937
Into You - 3LAU Remix,67333933,13754
Into You - Alex Ghenea Remix,19586830,5598
Intro,41134678,11083
Jason's Song (Gave It Away),36970973,13466
Just A Little Bit Of Your Heart,197093370,35142
Just Look Up (From Don't Look Up),84928246,8947
Knew Better / Forever Boy,112194268,26971
Last Christmas,324976568,56515
Leave Me Lonely,122972009,29949
Let Me Love You,520357008,362112
Love Is Everything,33248714,3988
Love Me Harder,1264067543,942337
Love Me Harder - A Cappella,234915,488
Love Me Harder - Alex Ghenea Remix,552856,78
Love Me Harder - Gregor Salto Amsterdam Mix,120122,3
Love Me Harder - Instrumental,205415,1108
Lovin' It,43916584,10131
MONOPOLY (with Victoria Monét),201481518,27916
Moonlight,252982033,77267
My Everything,215418761,80046
NASA,342768405,59897
Nobody (with Chaka Khan),10011401,1554
Not Just On Christmas,40720187,5259
One Last Time,1973127757,958371
One Last Time (Attends-Moi),12164508,4694
One Last Time - A Cappella,529139,1004
One Last Time - Gazzo Remix,530623,62
One Last Time - Instrumental,107950,262
Only 1,72965240,23626
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1316410,4071
Piano,78185904,12530
Popular,154428875,149026
Popular - Edit,5430965,6384
Popular - Live from the Dolby Theatre,836655,2473
Problem,1069130771,447551
Problem - A Cappella,1427622,1439
Problem - Dave Aude Twerk Edit,133517,14
Problem - Dawin Remix,9681839,1277
Problem - Kassiano Remix,1858096,75
Problem - Noodles & Devastator Remix,2577154,217
Problem - Wayne G Radio Edit,127681,18
Put Your Hearts Up,30322289,5171
R.E.M,221254310,81031
Right There,131698835,49321
Right There - 7th Heaven Radio Edit,276350,42
Right There - Live from London (feat. Big Sean),5965367,3026
Santa Baby,246112833,10434
Santa Tell Me,1508178210,184703
Saturn Returns Interlude,86774170,44401
Saturn Returns Interlude - a cappella,401523,840
Saturn Returns Interlude - instrumental,359945,729
Side To Side,1779850124,919188
Side To Side - Phantoms Remix,3878973,373
Side To Side - Slushii Remix,16760352,1730
Snow In California,80234967,7171
Sometimes,112388176,42492
Somewhere Over The Rainbow - Live From Manchester,19281784,3563
Step On Up,52940243,26593
Stuck with U (with Justin Bieber),1378582230,494467
Tattooed Heart,169676211,61772
Tattooed Heart - Live from London,10096885,8214
Thank Goodness - Live from the Dolby Theatre,2915148,11632
Thank Goodness / I Couldn't Be Happier,13026061,105246
The Girl in the Bubble,15220579,88116
The Way,562994332,264501
The Way - JdB Radio,115749,32
The Way - Live from London (feat. Mac Miller),15245294,8266
They Don't Know,111305699,13858
Thinking Bout You,172228332,65104
Too Close,4584565,6251
Touch It,200753163,98522
True Love,50532739,5664
What Is This Feeling?,152069277,143189
Why Try,130792932,36766
Winter Things,136428924,14599
Wit It This Christmas,48590303,3667
You Don't Know Me,60500589,12784
You'll Never Know,58432976,15413
"Zero To Hero - From ""Hercules""",32237293,3823
bad idea,323180495,85374
bad idea - live,14783280,4135
be alright - live,11844539,3092
better off,176234567,64376
blazed (feat. Pharrell Williams),71180758,13724
bloodline,584523165,649540
borderline (feat. Missy Elliott),87092097,26408
boyfriend (with Social House),1025981765,493390
break free - live,9693097,3356
"break up with your girlfriend, i'm bored",1102294953,224099
"break up with your girlfriend, i'm bored - live",13560962,3658
break your heart right back - live,8484266,2104
breathin,703198200,125688
breathin - live,15512330,5901
bye,295038343,234317
bye - a cappella,705479,1384
bye - instrumental,205351,741
dandelion,103431133,137259
dandelion - a cappella,727875,1207
dandelion - instrumental,229213,609
dangerous woman - live,11669644,4463
don't wanna break up again,190175655,125943
don't wanna break up again - a cappella,597704,1322
