Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10869486,385
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2929887,6684
* Adore,71851226,23082
* All My Love,83622027,12404
* All My Love - French Version,748137,84
* Arturo Sandoval,3976908,1370
* Bang Bang,1665359542,466306
* Bang Bang - 3LAU Extended Mix,111043,0
* Bang Bang - 3LAU Remix,24519635,2497
* Bang Bang - A Cappella,209960,444
* Bang Bang - Dada Life Remix,6437676,183
* Bang Bang - Imanos & Gramercy Remix,3264468,366
* Bang Bang - Kat Krazy Extended Mix,177378,0
* Bang Bang - Kat Krazy Remix,2473352,143
* Bang Bang - Super Stylers Remix,1512486,105
* Bang Bang - iLL BLU Mix Radio Edit,112879,1836
* Bed (feat. Ariana Grande),323431029,34415
* Dance To This (feat. Ariana Grande),331254549,48497
* Dancing Through Life,94576990,47372
* Dear Old Shiz,35176864,12815
* Defying Gravity,206940479,115720
* Defying Gravity - Edit,22475633,22013
* Die For You (with Ariana Grande) - Remix,1277322249,480972
"* E più ti penso - From ""Once Upon A Time In America""",31424634,3366
* Every Day More Wicked,11550646,22893
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",118183105,24091
* For Good,36594559,98501
* For Good - Edit,1031880,7442
* For Good - Live from the Gershwin Theatre,11354874,16781
* For Good - Sing-Along,145100,355
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,4040305,7626
* Get On Your Knees,99368845,11444
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),64210482,23891
* Good as Hell (feat. Ariana Grande) - Remix,469006660,45093
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",147128040,9991
* Hotel Rock Bottom (feat. Ariana Grande),2694845,1842
* I Don't Do Drugs (feat. Ariana Grande),234805844,59010
* I Don't Know Why (I Just Do),3851736,3978
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21497056,876
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18682166,6453
"* Mama, I'm a Big Girl Now",15973766,2678
* Met Him Last Night,148677540,27339
* Met Him Last Night - Dave Audé Remix,10526068,1229
* My Favorite Part,439050934,123266
* No One Mourns the Wicked,87346889,41525
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135299414,3619
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1839968,1072
* One Short Day,47744370,20738
* Over And Over Again - Elephante Uptempo Radio Version,4907531,324
* Popular Song (MIKA & Ariana Grande),151884551,30082
* Quit,273246805,42265
* Rain On Me (with Ariana Grande),1223553111,201494
* Rain On Me (with Ariana Grande) - Arca Remix,5901883,965
