Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10820550,4855
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2123285,24313
* Adore,70415953,28466
* All My Love,38455159,10153
* All My Love (Remix),82817144,9725
* All My Love - French Version,741434,103
* Arturo Sandoval,3882405,1621
* Bang Bang,1631293122,415555
* Bang Bang - 3LAU Extended Mix,110751,3
* Bang Bang - 3LAU Remix,24373831,1220
* Bang Bang - A Cappella,188920,239
* Bang Bang - Dada Life Remix,6424399,140
* Bang Bang - Imanos & Gramercy Remix,3241501,250
* Bang Bang - Kat Krazy Extended Mix,177090,2
* Bang Bang - Kat Krazy Remix,2465449,81
* Bang Bang - Super Stylers Remix,1504550,96
* Bang Bang - iLL BLU Mix Radio Edit,112701,3
* Bed (feat. Ariana Grande),321035461,35049
* Dance To This (feat. Ariana Grande),327504899,55292
* Dancing Through Life,90391045,71980
* Dear Old Shiz,34038738,22137
* Defying Gravity,196934787,172806
* Defying Gravity - Edit,20337425,35579
* Die For You (with Ariana Grande) - Remix,1243561179,378862
"* E più ti penso - From ""Once Upon A Time In America""",31191429,3346
* Every Day More Wicked,9229452,49200
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116343088,22006
* For Good,26895568,190961
* For Good - Edit,358537,8774
* For Good - Live from the Gershwin Theatre,9460290,34295
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3317583,14462
* Get On Your Knees,98522533,12124
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62656181,21030
* Good as Hell (feat. Ariana Grande) - Remix,466139697,35431
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146462725,10645
* Hotel Rock Bottom (feat. Ariana Grande),2542863,2245
* I Don't Do Drugs (feat. Ariana Grande),230887211,58996
* I Don't Know Why (I Just Do),3522756,4883
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21408514,4024
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18250285,5392
"* Mama, I'm a Big Girl Now",15788303,2437
* Met Him Last Night,146940246,17949
* Met Him Last Night - Dave Audé Remix,10445432,1274
* My Favorite Part,429900194,111560
* No One Mourns the Wicked,83662670,65747
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),134787543,82636
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1757409,1324
* One Short Day,45989652,30811
* Over And Over Again - Elephante Uptempo Radio Version,4889025,258
* Popular Song,149760979,25374
* Quit,270648531,48189
* Rain On Me (with Ariana Grande),1209231032,182285
* Rain On Me (with Ariana Grande) - Arca Remix,5838649,828
* Rain On Me - Purple Disco Machine Remix,3640489,600
* Rain On Me - Purple Disco Machine Remix - Edit,33592618,5245
* Rain On Me - Ralphi Rosario Remix,1397717,226
* Rain On Me - Ralphi Rosario Remix - Edit,2137642,576
* Research,37953204,8344
* Rule The World,63447085,11540
"* Santa, Can't You Hear Me",286971460,162652
"* Santa, Can't You Hear Me - Live",13719947,8998
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2078764174,1287426
"* Still Hurting - From ""The Last Five Years""",3459251,3110
* Sympathy is a knife featuring ariana grande,96302753,44250
* The Wizard And I - Live,6938898,3941
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1513194,2926
* Without Love,5052633,681
* Wonderful,9945146,67375
* You Can't Stop the Beat,10589005,1368
* You Don't Own Me (Feat. Ariana Grande),10316248,4132
34+35,1140607792,235823
34+35 - live from Vevo,432043,2104
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",286761779,42276
7 rings,2705044839,731426
7 rings (feat. 2 Chainz) - Remix,28547030,5773
7 rings - live,14680293,3500
A Little More Homework (feat. Graham Phillips) - Single Version,2999708,178
Almost Is Never Enough,368854049,84927
Almost Is Never Enough - Soundtrack Version,8869789,751
Baby I,165991109,34040
Baby I - Cosmic Dawn Radio Edit,219193,29
Baby I - Live from London,7402079,2606
Bad Decisions,117399996,18367
Bad To You (with Normani & Nicki Minaj),73278408,5760
Be Alright,324037012,37769
Be My Baby,135249294,50602
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",305965253,38650
Best Mistake,263319431,49392
Better Left Unsaid,36208472,6833
Brand New You (feat. Brynn Williams & Caitlin Gann),4601221,480
Break Free,1144282945,460444
Break Free - A Cappella,165171,340
Break Free - Zedd's Extended Mix,751206,2873
Break Your Heart Right Back,93743319,10506
Cadillac Song,4366734,3115
Come So Far (Got So Far to Go),5586082,487
Dangerous Woman,1509655560,507380
Daydreamin',228875939,60309
Daydreamin' - Live from London,8040656,2648
December,98395708,44080
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),416730460,57073
Everyday,714436777,323414
Focus,350463137,47792
God is a woman,1226445482,266285
Got Her Own (with Victoria Monét),18367259,3383
Greedy,336659349,102379
Hampstead,83332609,209155
Hampstead - a cappella,1219832,2639
Hampstead - instrumental,188044,515
Hands On Me,61839384,13099
Honeymoon Avenue,219827637,66813
Honeymoon Avenue - Live from London,13606372,4852
How I Look On You,40168801,11743
I Don't Care,67389793,10083
I'm Not That Girl (Reprise),7005460,35314
Into You,1835856364,827899
Into You - 3LAU Remix,67249137,9998
Into You - Alex Ghenea Remix,19551028,4016
Intro,41057856,8555
Jason's Song (Gave It Away),36886499,8724
Just A Little Bit Of Your Heart,196875590,22419
Just Look Up (From Don't Look Up),84871833,6295
Knew Better / Forever Boy,112024760,16948
Last Christmas,324423208,142893
Leave Me Lonely,122781154,19189
Let Me Love You,517855959,266750
Love Is Everything,33209188,8781
Love Me Harder,1257913729,652556
Love Me Harder - A Cappella,231833,336
Love Me Harder - Alex Ghenea Remix,552336,32
Love Me Harder - Gregor Salto Amsterdam Mix,120084,2
Love Me Harder - Instrumental,197317,1023
Lovin' It,43849053,7166
MONOPOLY (with Victoria Monét),201299127,20253
Moonlight,252466137,55924
My Everything,214866855,65737
NASA,342366576,41925
Nobody (with Chaka Khan),10001165,1596
Not Just On Christmas,40663094,14714
One Last Time,1966639972,798102
One Last Time (Attends-Moi),12133024,3649
One Last Time - A Cappella,522879,813
One Last Time - Gazzo Remix,530265,49
One Last Time - Instrumental,106390,184
Only 1,72810852,12847
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1289397,3127
Piano,78105618,8236
Popular,153334991,147107
Popular - Edit,5380561,6148
Popular - Live from the Dolby Theatre,819842,1966
Problem,1066191806,298318
Problem - A Cappella,1417397,1257
Problem - Dave Aude Twerk Edit,133446,4
Problem - Dawin Remix,9673407,870
Problem - Kassiano Remix,1857640,59
Problem - Noodles & Devastator Remix,2575698,148
Problem - Wayne G Radio Edit,127621,5
Put Your Hearts Up,30286243,4273
R.E.M,220724014,57185
Right There,131360640,34007
Right There - 7th Heaven Radio Edit,276057,26
Right There - Live from London (feat. Big Sean),5945851,1989
Santa Baby,245989683,33946
Santa Tell Me,1506281111,487264
Saturn Returns Interlude,86470205,35430
Saturn Returns Interlude - a cappella,396114,602
Saturn Returns Interlude - instrumental,353726,584
Side To Side,1773767309,698403
Side To Side - Phantoms Remix,3876367,313
Side To Side - Slushii Remix,16749400,1180
Snow In California,80164638,16304
Sometimes,112126103,28377
Somewhere Over The Rainbow - Live From Manchester,19257369,3113
Step On Up,52760786,19709
Stuck with U (with Justin Bieber),1375510788,326769
Tattooed Heart,169253630,46094
Tattooed Heart - Live from London,10043995,5625
Thank Goodness - Live from the Dolby Theatre,2840729,9297
Thank Goodness / I Couldn't Be Happier,12347603,76119
The Girl in the Bubble,14633654,64349
The Way,561349820,182369
The Way - JdB Radio,115574,21
The Way - Live from London (feat. Mac Miller),15193616,5594
They Don't Know,111212753,14709
Thinking Bout You,171813157,43533
Too Close,4546709,3962
Touch It,200142975,61802
True Love,50484076,10467
What Is This Feeling?,151045749,124910
Why Try,130558269,21210
Winter Things,136291414,32650
Wit It This Christmas,48553946,7431
You Don't Know Me,60418480,8429
You'll Never Know,58338137,9514
"Zero To Hero - From ""Hercules""",32214122,3258
bad idea,322630239,58910
bad idea - live,14756007,2857
be alright - live,11825438,1889
better off,175815589,45307
blazed (feat. Pharrell Williams),71091495,9348
bloodline,580168116,541371
borderline (feat. Missy Elliott),86924152,18674
boyfriend (with Social House),1022927052,356380
break free - live,9671254,2244
"break up with your girlfriend, i'm bored",1100650823,175408
"break up with your girlfriend, i'm bored - live",13537566,2372
break your heart right back - live,8470102,1343
breathin,702382214,84012
breathin - live,15472540,4039
bye,293453566,168096
bye - a cappella,696708,1046
bye - instrumental,200526,526
dandelion,102527033,100985
dandelion - a cappella,719970,841
dandelion - instrumental,225245,418
dangerous woman - live,11642669,2832
don't wanna break up again,189342035,92331
don't wanna break up again - a cappella,589002,1023
don't wanna break up again - instrumental,182517,436
don't wanna break up again - live version,6122787,3352
eternal sunshine,272504885,162581
eternal sunshine - a cappella,837428,2665
eternal sunshine - instrumental,261662,703
eternal sunshine - live version,6836892,3994
everytime,425462344,181718
everytime - live,12882726,3479
fake smile,244397725,29894
fake smile - live,9312952,1582
get well soon,130085534,19663
get well soon - live,7121970,1314
ghostin,317260424,100009
god is a woman - live,20536231,4200
goodnight n go,293509069,77261
goodnight n go - live,10755234,2441
i wish i hated you,161258358,107509
