Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10850625,676
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2606003,12450
* Adore,70887698,24828
* All My Love,38729883,12712
* All My Love (Remix),83148182,12160
* All My Love - French Version,744113,113
* Arturo Sandoval,3919226,1385
* Bang Bang,1645020925,462364
* Bang Bang - 3LAU Extended Mix,110837,2
* Bang Bang - 3LAU Remix,24430829,2105
* Bang Bang - A Cappella,195691,251
* Bang Bang - Dada Life Remix,6429771,195
* Bang Bang - Imanos & Gramercy Remix,3250709,333
* Bang Bang - Kat Krazy Extended Mix,177228,3
* Bang Bang - Kat Krazy Remix,2468582,126
* Bang Bang - Super Stylers Remix,1507869,129
* Bang Bang - iLL BLU Mix Radio Edit,112792,6
* Bed (feat. Ariana Grande),322020451,37843
* Dance To This (feat. Ariana Grande),329102585,53654
* Dancing Through Life,92395639,65059
* Dear Old Shiz,34612274,16838
* Defying Gravity,201475136,144678
* Defying Gravity - Edit,21420810,35884
* Die For You (with Ariana Grande) - Remix,1256867119,492191
"* E più ti penso - From ""Once Upon A Time In America""",31278355,3509
* Every Day More Wicked,10523509,34852
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117093860,28435
* For Good,32094100,149398
* For Good - Edit,721896,10741
* For Good - Live from the Gershwin Theatre,10437914,29885
* For Good - Sing-Along,126816,610
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3695962,10893
* Get On Your Knees,98874961,14729
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63218472,23001
* Good as Hell (feat. Ariana Grande) - Remix,467264747,40598
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146710931,9717
* Hotel Rock Bottom (feat. Ariana Grande),2607288,2241
* I Don't Do Drugs (feat. Ariana Grande),232403339,59491
* I Don't Know Why (I Just Do),3663017,5143
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21456405,1339
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18367083,5984
"* Mama, I'm a Big Girl Now",15859934,2720
* Met Him Last Night,147642578,25942
* Met Him Last Night - Dave Audé Remix,10478865,1217
* My Favorite Part,433206843,145824
* No One Mourns the Wicked,85471032,57117
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135125781,5187
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1784548,1392
* One Short Day,46846751,26420
* Over And Over Again - Elephante Uptempo Radio Version,4895123,277
* Popular Song (MIKA & Ariana Grande),150683629,35947
* Quit,271484548,44000
* Rain On Me (with Ariana Grande),1214943314,202958
* Rain On Me (with Ariana Grande) - Arca Remix,5862326,945
* Rain On Me - Purple Disco Machine Remix,3660087,766
* Rain On Me - Purple Disco Machine Remix - Edit,33759715,6167
* Rain On Me - Ralphi Rosario Remix,1404516,244
* Rain On Me - Ralphi Rosario Remix - Edit,2153745,570
* Research,38185921,8688
* Rule The World,63733157,11013
"* Santa, Can't You Hear Me",288179268,13452
"* Santa, Can't You Hear Me - Live",13824635,2573
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2109314788,1111940
"* Still Hurting - From ""The Last Five Years""",3532054,2633
* Sympathy is a knife featuring ariana grande,97846808,60479
* The Wizard And I - Live,7015622,2267
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1598291,2328
* Without Love,5072118,771
* Wonderful,11819755,56338
* You Can't Stop the Beat,10623246,1288
* You Don't Own Me (Feat. Ariana Grande),10374286,3627
34+35,1148927584,341361
34+35 - live from Vevo,512436,2986
