Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10863792,433
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2797676,8351
* Adore,71851226,23082
* All My Love,83455440,12144
* All My Love - French Version,746906,94
* Arturo Sandoval,3956760,1423
* Bang Bang,1658655633,474926
* Bang Bang - 3LAU Extended Mix,110922,1
* Bang Bang - 3LAU Remix,24489173,2273
* Bang Bang - A Cappella,204306,401
* Bang Bang - Dada Life Remix,6435035,200
* Bang Bang - Imanos & Gramercy Remix,3259635,328
* Bang Bang - Kat Krazy Extended Mix,177342,2
* Bang Bang - Kat Krazy Remix,2471850,124
* Bang Bang - Super Stylers Remix,1510902,123
* Bang Bang - iLL BLU Mix Radio Edit,112860,1
* Bed (feat. Ariana Grande),322969881,31483
* Dance To This (feat. Ariana Grande),330636744,53368
* Dancing Through Life,93908760,49328
* Dear Old Shiz,34999932,12164
* Defying Gravity,205302442,121671
* Defying Gravity - Edit,22174682,24061
* Die For You (with Ariana Grande) - Remix,1270934957,528109
"* E più ti penso - From ""Once Upon A Time In America""",31375793,3480
* Every Day More Wicked,11247471,21885
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117836612,25816
* For Good,35309578,97965
* For Good - Edit,940348,6064
* For Good - Live from the Gershwin Theatre,11100730,21061
* For Good - Sing-Along,140117,439
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3938486,8021
* Get On Your Knees,99213792,12320
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63848260,22734
* Good as Hell (feat. Ariana Grande) - Remix,468411419,39610
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146988087,9961
* Hotel Rock Bottom (feat. Ariana Grande),2666156,2132
* I Don't Do Drugs (feat. Ariana Grande),233998144,63598
* I Don't Know Why (I Just Do),3793285,4715
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21484981,881
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18553160,6150
"* Mama, I'm a Big Girl Now",15934536,2641
* Met Him Last Night,148323000,25474
* Met Him Last Night - Dave Audé Remix,10510353,1080
* My Favorite Part,437237746,168213
* No One Mourns the Wicked,86768419,41690
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135249050,3800
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1818222,1153
* One Short Day,47463809,20083
* Over And Over Again - Elephante Uptempo Radio Version,4907531,324
* Popular Song (MIKA & Ariana Grande),151567544,32904
* Quit,273246805,42265
* Rain On Me (with Ariana Grande),1220798114,205973
* Rain On Me (with Ariana Grande) - Arca Remix,5888976,1010
* Rain On Me - Purple Disco Machine Remix,3680952,715
* Rain On Me - Purple Disco Machine Remix - Edit,33927632,6144
* Rain On Me - Ralphi Rosario Remix,1411338,223
* Rain On Me - Ralphi Rosario Remix - Edit,2169478,520
* Research,38420839,8317
* Rule The World,64035500,10746
"* Santa, Can't You Hear Me",288487079,8906
"* Santa, Can't You Hear Me - Live",13880653,1799
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2139137201,1104710
"* Still Hurting - From ""The Last Five Years""",3596604,2255
* Sympathy is a knife featuring ariana grande,99560941,65928
* The Wizard And I - Live,7072574,2223
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1654514,1706
* Without Love,5092753,764
* Wonderful,13010797,38017
* You Can't Stop the Beat,10658671,1228
* You Don't Own Me (Feat. Ariana Grande),10494233,3295
34+35,1157034823,297878
34+35 - live from Vevo,586427,2890
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",289702667,53978
7 rings,2753306467,909566
7 rings (feat. 2 Chainz) - Remix,28835133,5336
