Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10790146,12002
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2084832,27329
* Adore,70415953,28466
* All My Love,38417229,8702
* All My Love (Remix),82779929,9117
* All My Love - French Version,741041,114
* Arturo Sandoval,3876398,1493
* Bang Bang,1629267810,434241
* Bang Bang - 3LAU Extended Mix,110740,5
* Bang Bang - 3LAU Remix,24366750,1602
* Bang Bang - A Cappella,187878,262
* Bang Bang - Dada Life Remix,6423703,152
* Bang Bang - Imanos & Gramercy Remix,3240204,293
* Bang Bang - Kat Krazy Extended Mix,177079,4
* Bang Bang - Kat Krazy Remix,2465057,102
* Bang Bang - Super Stylers Remix,1504094,92
* Bang Bang - iLL BLU Mix Radio Edit,112690,6
* Bed (feat. Ariana Grande),320897040,32694
* Dance To This (feat. Ariana Grande),327283728,48593
* Dancing Through Life,90030863,85704
* Dear Old Shiz,33926155,28315
* Defying Gravity,196094127,205032
* Defying Gravity - Edit,20155121,40293
* Die For You (with Ariana Grande) - Remix,1241768335,425160
"* E più ti penso - From ""Once Upon A Time In America""",31178043,3484
* Every Day More Wicked,8970479,63717
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116237082,24444
* For Good,25915930,240006
* For Good - Edit,331665,7816
* For Good - Live from the Gershwin Theatre,9284850,93230
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3246482,16503
* Get On Your Knees,98473457,11392
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62576278,19335
* Good as Hell (feat. Ariana Grande) - Remix,465967714,35539
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146424339,9264
* Hotel Rock Bottom (feat. Ariana Grande),2534733,1788
* I Don't Do Drugs (feat. Ariana Grande),230666307,52204
* I Don't Know Why (I Just Do),3500332,4993
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21378900,8846
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18196359,5690
"* Mama, I'm a Big Girl Now",15778882,2218
* Met Him Last Night,146842874,21696
* Met Him Last Night - Dave Audé Remix,10440947,1109
* My Favorite Part,429477926,105067
* No One Mourns the Wicked,83328403,82790
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),134465790,163114
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1752194,1194
* One Short Day,45828980,39293
* Over And Over Again - Elephante Uptempo Radio Version,4889025,258
* Popular Song,149631631,32014
* Quit,270648531,48189
* Rain On Me (with Ariana Grande),1208388754,176373
* Rain On Me (with Ariana Grande) - Arca Remix,5835430,779
* Rain On Me - Purple Disco Machine Remix,3637549,639
* Rain On Me - Purple Disco Machine Remix - Edit,33567731,5317
* Rain On Me - Ralphi Rosario Remix,1396659,237
* Rain On Me - Ralphi Rosario Remix - Edit,2135181,557
* Research,37894793,9577
* Rule The World,63402405,10729
"* Santa, Can't You Hear Me",285802514,474838
"* Santa, Can't You Hear Me - Live",13655422,24399
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2072965335,955663
"* Still Hurting - From ""The Last Five Years""",3446852,2926
* Sympathy is a knife featuring ariana grande,96078827,50453
* The Wizard And I - Live,6923620,3495
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1498639,3464
* Without Love,5050039,685
* Wonderful,9598147,86191
* You Can't Stop the Beat,10584049,1162
* You Don't Own Me (Feat. Ariana Grande),10262520,4469
34+35,1139408655,278916
34+35 - live from Vevo,421155,2666
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",286566069,44336
7 rings,2701383344,833641
7 rings (feat. 2 Chainz) - Remix,28520497,6140
7 rings - live,14663169,4177
A Little More Homework (feat. Graham Phillips) - Single Version,2998845,245
Almost Is Never Enough,368431481,97706
Almost Is Never Enough - Soundtrack Version,8866971,615
Baby I,165821768,41178
Baby I - Cosmic Dawn Radio Edit,219034,30
Baby I - Live from London,7388469,3391
Bad Decisions,117304466,22886
Bad To You (with Normani & Nicki Minaj),73256135,5305
Be Alright,323836521,47983
Be My Baby,134977844,63998
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",305774816,47912
Best Mistake,263067467,60703
Better Left Unsaid,36174342,8272
Brand New You (feat. Brynn Williams & Caitlin Gann),4599170,625
Break Free,1142022735,471358
Break Free - A Cappella,163676,237
Break Free - Zedd's Extended Mix,738696,2280
Break Your Heart Right Back,93690463,12867
Cadillac Song,4351570,3736
Come So Far (Got So Far to Go),5584216,431
Dangerous Woman,1507119927,565188
Daydreamin',228586658,72467
Daydreamin' - Live from London,8026538,3265
December,98131711,81267
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),416506389,51068
Everyday,712815495,373654
Focus,350222532,54029
God is a woman,1225096247,299772
Got Her Own (with Victoria Monét),18355010,2733
Greedy,336176465,116971
Hampstead,82497505,155187
Hampstead - a cappella,1208520,2265
Hampstead - instrumental,185861,482
Hands On Me,61767650,18050
Honeymoon Avenue,219488592,82219
Honeymoon Avenue - Live from London,13581961,5978
How I Look On You,40125782,10116
I Don't Care,67340832,11941
I'm Not That Girl (Reprise),6817337,45465
Into You,1831544228,940519
Into You - 3LAU Remix,67203381,9294
Into You - Alex Ghenea Remix,19532401,4302
Intro,41017961,9502
Jason's Song (Gave It Away),36842019,11014
Just A Little Bit Of Your Heart,196764653,27122
Just Look Up (From Don't Look Up),84839155,7655
Knew Better / Forever Boy,111934999,21974
Last Christmas,323468721,310722
Leave Me Lonely,122677270,24095
Let Me Love You,516499977,322300
Love Is Everything,33145683,28443
Love Me Harder,1254610901,775051
Love Me Harder - A Cappella,230117,422
Love Me Harder - Alex Ghenea Remix,552097,56
Love Me Harder - Gregor Salto Amsterdam Mix,120054,9
Love Me Harder - Instrumental,193120,1073
Lovin' It,43813989,8464
MONOPOLY (with Victoria Monét),201206068,21507
Moonlight,252186195,69199
My Everything,214581123,65823
NASA,342151406,52246
Nobody (with Chaka Khan),9995180,1289
Not Just On Christmas,40570040,32566
One Last Time,1962793096,805242
One Last Time (Attends-Moi),12113494,4083
One Last Time - A Cappella,519579,773
One Last Time - Gazzo Remix,530056,44
One Last Time - Instrumental,105608,193
Only 1,72730586,20415
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1272894,4178
Piano,78064203,10825
Popular,152624963,166990
Popular - Edit,5348882,9326
Popular - Live from the Dolby Theatre,809880,2265
Problem,1064668516,379069
Problem - A Cappella,1411524,1429
Problem - Dave Aude Twerk Edit,133425,9
Problem - Dawin Remix,9669072,1028
Problem - Kassiano Remix,1857364,61
Problem - Noodles & Devastator Remix,2574929,176
