Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10865813,380
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2863039,7322
* Adore,71851226,23082
* All My Love,83514628,8915
* All My Love - French Version,747337,66
* Arturo Sandoval,3964076,1432
* Bang Bang,1661081049,463034
* Bang Bang - 3LAU Extended Mix,110944,12
* Bang Bang - 3LAU Remix,24499224,2167
* Bang Bang - A Cappella,206252,392
* Bang Bang - Dada Life Remix,6435942,199
* Bang Bang - Imanos & Gramercy Remix,3261282,325
* Bang Bang - Kat Krazy Extended Mix,177359,4
* Bang Bang - Kat Krazy Remix,2472346,98
* Bang Bang - Super Stylers Remix,1511448,125
* Bang Bang - iLL BLU Mix Radio Edit,112868,2
* Bed (feat. Ariana Grande),323135324,29208
* Dance To This (feat. Ariana Grande),330849048,53076
* Dancing Through Life,94145644,44602
* Dear Old Shiz,35059131,11145
* Defying Gravity,205887760,107379
* Defying Gravity - Edit,22283356,19061
* Die For You (with Ariana Grande) - Remix,1273263270,459303
"* E più ti penso - From ""Once Upon A Time In America""",31401072,3611
* Every Day More Wicked,11349842,19579
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117960706,22616
* For Good,35756503,88237
* For Good - Edit,971179,5704
* For Good - Live from the Gershwin Theatre,11195782,19149
* For Good - Sing-Along,141923,380
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3974306,7017
* Get On Your Knees,99269691,9964
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63970989,22423
* Good as Hell (feat. Ariana Grande) - Remix,468619186,40643
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",147038119,8810
* Hotel Rock Bottom (feat. Ariana Grande),2676971,2257
* I Don't Do Drugs (feat. Ariana Grande),234294188,51029
* I Don't Know Why (I Just Do),3814853,4498
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21489432,861
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18617633,6447
"* Mama, I'm a Big Girl Now",15947738,2489
* Met Him Last Night,148450171,26408
* Met Him Last Night - Dave Audé Remix,10515911,898
* My Favorite Part,437938741,117091
* No One Mourns the Wicked,86967065,37978
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135267835,3241
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1829244,1102
* One Short Day,47559168,17934
* Over And Over Again - Elephante Uptempo Radio Version,4907531,324
* Popular Song (MIKA & Ariana Grande),151716772,29430
* Quit,273246805,42265
* Rain On Me (with Ariana Grande),1221773874,192215
* Rain On Me (with Ariana Grande) - Arca Remix,5893606,745
* Rain On Me - Purple Disco Machine Remix,3684630,710
* Rain On Me - Purple Disco Machine Remix - Edit,33958651,5782
* Rain On Me - Ralphi Rosario Remix,1412538,238
* Rain On Me - Ralphi Rosario Remix - Edit,2172119,498
* Research,38451586,7686
* Rule The World,64087201,11129
"* Santa, Can't You Hear Me",288529273,8037
"* Santa, Can't You Hear Me - Live",13888916,1687
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2144009671,959539
"* Still Hurting - From ""The Last Five Years""",3607089,2129
* Sympathy is a knife featuring ariana grande,99853470,59358
* The Wizard And I - Live,7081417,1713
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1662610,1541
* Without Love,5096143,620
* Wonderful,13189588,35165
* You Can't Stop the Beat,10665013,1281
* You Don't Own Me (Feat. Ariana Grande),10494233,3295
34+35,1158438243,282213
34+35 - live from Vevo,599607,2674
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",289958837,52133
7 rings,2757565130,853917
