Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10847120,637
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2481499,15873
* Adore,70887698,24828
* All My Love,38677839,12109
* All My Love (Remix),83087557,12224
* All My Love - French Version,743598,100
* Arturo Sandoval,3912376,1139
* Bang Bang,1642682133,531869
* Bang Bang - 3LAU Extended Mix,110820,4
* Bang Bang - 3LAU Remix,24421217,2350
* Bang Bang - A Cappella,194444,312
* Bang Bang - Dada Life Remix,6428819,242
* Bang Bang - Imanos & Gramercy Remix,3249078,373
* Bang Bang - Kat Krazy Extended Mix,177195,6
* Bang Bang - Kat Krazy Remix,2467996,125
* Bang Bang - Super Stylers Remix,1507241,156
* Bang Bang - iLL BLU Mix Radio Edit,112773,3
* Bed (feat. Ariana Grande),321843731,40096
* Dance To This (feat. Ariana Grande),328641218,59059
* Dancing Through Life,92095554,66469
* Dear Old Shiz,34529199,18497
* Defying Gravity,200777752,156048
* Defying Gravity - Edit,21241940,43180
* Die For You (with Ariana Grande) - Remix,1254364220,505811
"* E più ti penso - From ""Once Upon A Time In America""",31253792,3478
* Every Day More Wicked,10353501,39665
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116961161,29109
* For Good,31376531,167407
* For Good - Edit,670428,11515
* For Good - Live from the Gershwin Theatre,10292508,32783
* For Good - Sing-Along,123545,822
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3643885,13283
* Get On Your Knees,98811896,15076
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63110872,22126
* Good as Hell (feat. Ariana Grande) - Remix,467076490,46440
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146664316,9976
* Hotel Rock Bottom (feat. Ariana Grande),2596823,2286
* I Don't Do Drugs (feat. Ariana Grande),232129241,61663
* I Don't Know Why (I Just Do),3639184,5228
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21450393,1245
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18367083,5984
"* Mama, I'm a Big Girl Now",15846725,3035
* Met Him Last Night,147526301,26207
* Met Him Last Night - Dave Audé Remix,10473350,1278
* My Favorite Part,432537851,139338
* No One Mourns the Wicked,85198449,58993
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135097864,6249
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1784548,1392
* One Short Day,46719256,28859
* Over And Over Again - Elephante Uptempo Radio Version,4895123,277
* Popular Song (MIKA & Ariana Grande),150512438,34564
* Quit,271484548,44000
* Rain On Me (with Ariana Grande),1213983087,217213
* Rain On Me (with Ariana Grande) - Arca Remix,5857969,904
* Rain On Me - Purple Disco Machine Remix,3656446,859
* Rain On Me - Purple Disco Machine Remix - Edit,33730220,6895
* Rain On Me - Ralphi Rosario Remix,1403347,220
* Rain On Me - Ralphi Rosario Remix - Edit,2151229,589
* Research,38151168,8802
* Rule The World,63681717,11526
"* Santa, Can't You Hear Me",288104368,22514
"* Santa, Can't You Hear Me - Live",13812690,2822
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2103994253,1092132
"* Still Hurting - From ""The Last Five Years""",3519457,2744
* Sympathy is a knife featuring ariana grande,97572340,59170
* The Wizard And I - Live,7004266,2527
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1586914,2840
* Without Love,5068385,887
* Wonderful,11546514,60377
* You Can't Stop the Beat,10616950,1302
* You Don't Own Me (Feat. Ariana Grande),10374286,3627
34+35,1147410348,317365
34+35 - live from Vevo,498397,2964
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",287945819,56987
7 rings,2724901153,917754
7 rings (feat. 2 Chainz) - Remix,28668054,6109
7 rings - live,14786933,4950
A Little More Homework (feat. Graham Phillips) - Single Version,3004776,252
Almost Is Never Enough (with Nathan Sykes),371604807,151160
Almost Is Never Enough - Soundtrack Version,8886988,924
Baby I,167128391,54500
Baby I - Cosmic Dawn Radio Edit,220018,53
Baby I - Live from London,7486062,3962
Bad Decisions,118012131,28537
Bad To You (with Normani & Nicki Minaj),73407314,6355
Be Alright,325281881,56388
Be My Baby,136931334,67244
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",307158989,57817
Best Mistake,264989557,74757
