Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10830644,1750
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2123285,24313
* Adore,70415953,28466
* All My Love,38503670,9818
* All My Love (Remix),82852630,9619
* All My Love - French Version,741776,82
* Arturo Sandoval,3887327,1243
* Bang Bang,1633279006,522934
* Bang Bang - 3LAU Extended Mix,110764,1
* Bang Bang - 3LAU Remix,24381201,2190
* Bang Bang - A Cappella,189955,234
* Bang Bang - Dada Life Remix,6425120,180
* Bang Bang - Imanos & Gramercy Remix,3242662,285
* Bang Bang - Kat Krazy Extended Mix,177106,4
* Bang Bang - Kat Krazy Remix,2465854,122
* Bang Bang - Super Stylers Remix,1505014,96
* Bang Bang - iLL BLU Mix Radio Edit,112716,2
* Bed (feat. Ariana Grande),321159678,32331
* Dance To This (feat. Ariana Grande),327710236,51334
* Dancing Through Life,90732294,86069
* Dear Old Shiz,34142598,25300
* Defying Gravity,197702869,192864
* Defying Gravity - Edit,20518234,54306
* Die For You (with Ariana Grande) - Remix,1245396332,480304
"* E più ti penso - From ""Once Upon A Time In America""",31205409,3495
* Every Day More Wicked,9472341,61910
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116452846,26901
* For Good,27796264,228996
* For Good - Edit,408515,12494
* For Good - Live from the Gershwin Theatre,9628148,43789
* For Good - Sing-Along,106209,1080
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3382046,16438
* Get On Your Knees,98566641,12300
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62748166,20466
* Good as Hell (feat. Ariana Grande) - Remix,466298661,42761
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146495130,7811
* Hotel Rock Bottom (feat. Ariana Grande),2553601,2717
* I Don't Do Drugs (feat. Ariana Grande),231081355,50558
* I Don't Know Why (I Just Do),3543691,5381
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21421415,3046
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18250285,5392
"* Mama, I'm a Big Girl Now",15799180,2432
* Met Him Last Night,147045943,30109
* Met Him Last Night - Dave Audé Remix,10449632,1260
* My Favorite Part,430284382,98672
* No One Mourns the Wicked,83972281,77568
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),134908954,20791
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1757409,1324
* One Short Day,46138266,36525
* Over And Over Again - Elephante Uptempo Radio Version,4889025,258
* Popular Song,149889116,31852
* Quit,270648531,48189
* Rain On Me (with Ariana Grande),1210050777,217151
* Rain On Me (with Ariana Grande) - Arca Remix,5841689,790
* Rain On Me - Purple Disco Machine Remix,3643080,650
* Rain On Me - Purple Disco Machine Remix - Edit,33616287,5668
* Rain On Me - Ralphi Rosario Remix,1398744,230
* Rain On Me - Ralphi Rosario Remix - Edit,2139882,575
* Research,37953204,8344
* Rule The World,63487538,10314
"* Santa, Can't You Hear Me",287362133,82049
"* Santa, Can't You Hear Me - Live",13747099,6017
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2083541424,1209311
"* Still Hurting - From ""The Last Five Years""",3473131,3092
* Sympathy is a knife featuring ariana grande,96514446,57334
* The Wizard And I - Live,6955724,3179
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1527844,3798
* Without Love,5055734,645
* Wonderful,10274431,84971
* You Can't Stop the Beat,10594794,1267
* You Don't Own Me (Feat. Ariana Grande),10316248,4132
34+35,1141734667,298003
34+35 - live from Vevo,442752,2991
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",286963742,54918
7 rings,2708719806,1019538
7 rings (feat. 2 Chainz) - Remix,28570323,6031
7 rings - live,14697882,4692
A Little More Homework (feat. Graham Phillips) - Single Version,3000555,213
Almost Is Never Enough,369267104,112178
Almost Is Never Enough - Soundtrack Version,8872877,712
Baby I,166168956,48353
Baby I - Cosmic Dawn Radio Edit,219313,33
Baby I - Live from London,7415797,3743
Bad Decisions,117494871,25970
Bad To You (with Normani & Nicki Minaj),73304911,5519
Be Alright,324243107,53208
Be My Baby,135528469,75350
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",306149427,50010
Best Mistake,263592034,73998
Better Left Unsaid,36244640,9668
Brand New You (feat. Brynn Williams & Caitlin Gann),4603486,574
Break Free,1146605079,635074
Break Free - A Cappella,166584,323
Break Free - Zedd's Extended Mix,761732,2492
Break Your Heart Right Back,93798000,14614
Cadillac Song,4382313,4037
Come So Far (Got So Far to Go),5588241,472
Dangerous Woman,1512273576,722749
Daydreamin',229183355,80218
Daydreamin' - Live from London,8055062,3958
December,98545808,37209
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),416979178,59162
Everyday,716101979,452361
Focus,350703523,61234
God is a woman,1227827809,398440
Got Her Own (with Victoria Monét),18381530,3197
Greedy,337135920,127892
Hampstead,84244702,236915
Hampstead - a cappella,1230364,2710
Hampstead - instrumental,190421,585
Hands On Me,61936913,27457
Honeymoon Avenue,220160649,84899
Honeymoon Avenue - Live from London,13630612,6526
How I Look On You,40216543,10779
I Don't Care,67439774,13518
I'm Not That Girl (Reprise),7184900,46149
Into You,1839961307,1093641
Into You - 3LAU Remix,67293236,12753
Into You - Alex Ghenea Remix,19570471,5099
Intro,41100230,11217
Jason's Song (Gave It Away),36931657,12040
Just A Little Bit Of Your Heart,196988824,30089
Just Look Up (From Don't Look Up),84902403,8344
Knew Better / Forever Boy,112113811,24094
Last Christmas,324788033,78262
Leave Me Lonely,122882968,28287
Let Me Love You,519246613,379620
Love Is Everything,33235227,5040
Love Me Harder,1261262945,966342
Love Me Harder - A Cappella,233482,450
Love Me Harder - Alex Ghenea Remix,552624,82
Love Me Harder - Gregor Salto Amsterdam Mix,120100,4
Love Me Harder - Instrumental,201927,1167
Lovin' It,43885690,9741
MONOPOLY (with Victoria Monét),201398555,26134
Moonlight,252742858,74856
My Everything,215162739,74640
NASA,342587777,58391
Nobody (with Chaka Khan),10008247,1652
Not Just On Christmas,40701640,7600
One Last Time,1970196178,966064
One Last Time (Attends-Moi),12151163,4304
One Last Time - A Cappella,526234,857
One Last Time - Gazzo Remix,530460,41
One Last Time - Instrumental,107229,222
Only 1,72892706,22947
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1303925,3800
Piano,78147891,11425
Popular,153973285,152638
Popular - Edit,5409942,8348
Popular - Live from the Dolby Theatre,829234,2285
Problem,1067764580,431515
Problem - A Cappella,1423121,1561
Problem - Dave Aude Twerk Edit,133480,6
Problem - Dawin Remix,9677955,1197
Problem - Kassiano Remix,1857879,61
Problem - Noodles & Devastator Remix,2576468,211
Problem - Wayne G Radio Edit,127645,5
Put Your Hearts Up,30306042,4835
R.E.M,221001753,80060
Right There,131540403,44623
Right There - 7th Heaven Radio Edit,276214,36
