Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10843828,832
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2481499,15873
* Adore,70887698,24828
* All My Love,38623899,9011
* All My Love (Remix),83019573,21273
* All My Love - French Version,743073,102
* Arturo Sandoval,3905944,1369
* Bang Bang,1640102708,481381
* Bang Bang - 3LAU Extended Mix,110802,3
* Bang Bang - 3LAU Remix,24409525,1729
* Bang Bang - A Cappella,193171,213
* Bang Bang - Dada Life Remix,6427745,175
* Bang Bang - Imanos & Gramercy Remix,3247341,298
* Bang Bang - Kat Krazy Extended Mix,177173,6
* Bang Bang - Kat Krazy Remix,2467430,91
* Bang Bang - Super Stylers Remix,1506572,117
* Bang Bang - iLL BLU Mix Radio Edit,112760,3
* Bed (feat. Ariana Grande),321657566,34403
* Dance To This (feat. Ariana Grande),328404980,61752
* Dancing Through Life,91756673,64220
* Dear Old Shiz,34434632,19118
* Defying Gravity,199999980,150091
* Defying Gravity - Edit,21048621,29935
* Die For You (with Ariana Grande) - Remix,1251811875,500280
"* E più ti penso - From ""Once Upon A Time In America""",31253792,3478
* Every Day More Wicked,10149382,39517
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116824084,25694
* For Good,30507822,162019
* For Good - Edit,565775,13500
* For Good - Live from the Gershwin Theatre,10123582,29349
* For Good - Sing-Along,117327,877
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3578753,10450
* Get On Your Knees,98745817,12518
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63003200,22297
* Good as Hell (feat. Ariana Grande) - Remix,466861526,37923
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146617344,9561
* Hotel Rock Bottom (feat. Ariana Grande),2585012,2102
* I Don't Do Drugs (feat. Ariana Grande),231838866,58774
* I Don't Know Why (I Just Do),3611633,5374
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21443656,1254
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18307234,5694
"* Mama, I'm a Big Girl Now",15832502,2891
* Met Him Last Night,147394896,20965
* Met Him Last Night - Dave Audé Remix,10467228,1305
* My Favorite Part,431863605,125889
* No One Mourns the Wicked,84891913,58044
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135065600,7835
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1770621,1321
