Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10865057,429
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2863039,7322
* Adore,71851226,23082
* All My Love,83494487,12722
* All My Love - French Version,747175,82
* Arturo Sandoval,3961241,1454
* Bang Bang,1660197186,513637
* Bang Bang - 3LAU Extended Mix,110930,3
* Bang Bang - 3LAU Remix,24495524,1973
* Bang Bang - A Cappella,205522,350
* Bang Bang - Dada Life Remix,6435598,172
* Bang Bang - Imanos & Gramercy Remix,3260691,352
* Bang Bang - Kat Krazy Extended Mix,177351,3
* Bang Bang - Kat Krazy Remix,2472157,92
* Bang Bang - Super Stylers Remix,1511243,96
* Bang Bang - iLL BLU Mix Radio Edit,112864,2
* Bed (feat. Ariana Grande),323073310,35352
* Dance To This (feat. Ariana Grande),330636744,53368
* Dancing Through Life,94057615,48352
* Dear Old Shiz,35036701,12463
* Defying Gravity,205671964,122115
* Defying Gravity - Edit,22247548,24381
* Die For You (with Ariana Grande) - Remix,1272344906,439473
"* E più ti penso - From ""Once Upon A Time In America""",31401072,3611
* Every Day More Wicked,11311065,20483
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117914751,27353
* For Good,35586828,87023
* For Good - Edit,960317,6766
* For Good - Live from the Gershwin Theatre,11160057,17609
* For Good - Sing-Along,141231,333
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3960474,6823
* Get On Your Knees,99249176,11764
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63923749,26211
* Good as Hell (feat. Ariana Grande) - Remix,468542614,44347
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",147019215,10550
* Hotel Rock Bottom (feat. Ariana Grande),2672526,2078
* I Don't Do Drugs (feat. Ariana Grande),234187002,62813
* I Don't Know Why (I Just Do),3806236,4237
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21487791,878
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18617633,6447
"* Mama, I'm a Big Girl Now",15942673,2685
* Met Him Last Night,148402443,26498
* Met Him Last Night - Dave Audé Remix,10513876,1136
* My Favorite Part,437691416,143940
* No One Mourns the Wicked,86891682,40826
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135260672,3965
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1818222,1153
* One Short Day,47523327,19414
* Over And Over Again - Elephante Uptempo Radio Version,4907531,324
