Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,9873407,20053
* Adore,69846631,32471
* All My Love,38194857,10853
* All My Love (Remix),82543915,10786
* All My Love - French Version,738964,90
* Arturo Sandoval,3838407,1628
* Bang Bang,1617754529,498047
* Bang Bang - 3LAU Extended Mix,110682,3
* Bang Bang - 3LAU Remix,24320490,2231
* Bang Bang - A Cappella,180559,305
* Bang Bang - Dada Life Remix,6419381,224
* Bang Bang - Imanos & Gramercy Remix,3232673,515
* Bang Bang - Kat Krazy Extended Mix,176954,5
* Bang Bang - Kat Krazy Remix,2462493,120
* Bang Bang - Super Stylers Remix,1501195,107
* Bang Bang - iLL BLU Mix Radio Edit,112626,5
* Bed (feat. Ariana Grande),319968563,42901
* Dance To This (feat. Ariana Grande),325963859,54296
* Dancing Through Life,86951248,208300
* Dear Old Shiz,32974077,64566
* Defying Gravity,189207880,422911
* Defying Gravity - Edit,18369828,135957
* Die For You (with Ariana Grande) - Remix,1230010832,548873
"* E più ti penso - From ""Once Upon A Time In America""",31089206,4066
* Every Day More Wicked,6433824,183597
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",115663908,23638
* For Good,16143642,657498
* For Good - Live from the Gershwin Theatre,7482686,122469
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,2593473,43332
* Get On Your Knees,98154517,14396
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62103923,19810
* Good as Hell (feat. Ariana Grande) - Remix,465044065,46015
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146221257,9129
* Hotel Rock Bottom (feat. Ariana Grande),2479237,2630
* I Don't Do Drugs (feat. Ariana Grande),229300694,54634
* I Don't Know Why (I Just Do),3356297,8260
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),20525545,22489
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18084405,6264
"* Mama, I'm a Big Girl Now",15718206,2761
* Met Him Last Night,146296818,24667
* Met Him Last Night - Dave Audé Remix,10414630,1227
* My Favorite Part,426729122,141834
* No One Mourns the Wicked,80444149,188379
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),122882992,315731
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1717021,1740
* One Short Day,44502554,87293
* Over And Over Again - Elephante Uptempo Radio Version,4884106,335
* Popular Song,148726309,41496
* Quit,269684741,47174
* Rain On Me (with Ariana Grande),1203688366,191994
* Rain On Me (with Ariana Grande) - Arca Remix,5814827,901
* Rain On Me - Purple Disco Machine Remix,3621838,676
* Rain On Me - Purple Disco Machine Remix - Edit,33420038,6828
* Rain On Me - Ralphi Rosario Remix,1390488,300
* Rain On Me - Ralphi Rosario Remix - Edit,2120904,625
* Research,37700592,9426
* Rule The World,63169962,10547
"* Santa, Can't You Hear Me",232510808,1404463
"* Santa, Can't You Hear Me - Live",11913233,63991
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2047692635,1135483
"* Still Hurting - From ""The Last Five Years""",3355996,5484
* Sympathy is a knife featuring ariana grande,94603405,84545
* The Wizard And I - Live,6809806,8740
* Time (feat. Ariana Grande),21449208,2847
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1316780,15646
* Without Love,5033772,1143
* Wonderful,6355669,226676
* You Can't Stop the Beat,10556201,1285
* You Don't Own Me (Feat. Ariana Grande),10168237,7157
