Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10839129,839
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2322765,19948
* Adore,70887698,24828
* All My Love,38565339,8873
* All My Love (Remix),82935369,12385
* All My Love - French Version,742459,111
* Arturo Sandoval,3897473,1285
* Bang Bang,1636896402,502491
* Bang Bang - 3LAU Extended Mix,110787,3
* Bang Bang - 3LAU Remix,24396463,2392
* Bang Bang - A Cappella,191693,214
* Bang Bang - Dada Life Remix,6426528,194
* Bang Bang - Imanos & Gramercy Remix,3245241,351
* Bang Bang - Kat Krazy Extended Mix,177139,1
* Bang Bang - Kat Krazy Remix,2466670,98
* Bang Bang - Super Stylers Remix,1505868,116
* Bang Bang - iLL BLU Mix Radio Edit,112735,4
* Bed (feat. Ariana Grande),321426942,34115
* Dance To This (feat. Ariana Grande),328157972,55527
* Dancing Through Life,91313826,79614
* Dear Old Shiz,34309493,21868
* Defying Gravity,198992719,177207
* Defying Gravity - Edit,20821836,41216
* Die For You (with Ariana Grande) - Remix,1248799226,498263
"* E più ti penso - From ""Once Upon A Time In America""",31229443,3433
* Every Day More Wicked,9869112,52483
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116653782,27009
* For Good,29351274,216249
* For Good - Edit,511775,14335
* For Good - Live from the Gershwin Theatre,9912500,40123
* For Good - Sing-Along,113819,905
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3498622,15330
* Get On Your Knees,98667011,13038
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62872263,21144
* Good as Hell (feat. Ariana Grande) - Remix,466600851,41662
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146559844,8112
* Hotel Rock Bottom (feat. Ariana Grande),2571580,2554
* I Don't Do Drugs (feat. Ariana Grande),231486535,53918
* I Don't Know Why (I Just Do),3580164,5483
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21435247,1587
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18307234,5694
"* Mama, I'm a Big Girl Now",15815188,2590
* Met Him Last Night,147242695,27306
* Met Him Last Night - Dave Audé Remix,10459236,1104
* My Favorite Part,431103745,101074
* No One Mourns the Wicked,84492183,70803
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135012694,10561
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1770621,1321
* One Short Day,46385544,32758
* Over And Over Again - Elephante Uptempo Radio Version,4889025,258
* Popular Song,150128564,34513
* Quit,271484548,44000
* Rain On Me (with Ariana Grande),1211581129,213094
* Rain On Me (with Ariana Grande) - Arca Remix,5847747,744
* Rain On Me - Purple Disco Machine Remix,3648157,704
* Rain On Me - Purple Disco Machine Remix - Edit,33659325,5565
* Rain On Me - Ralphi Rosario Remix,1400687,251
* Rain On Me - Ralphi Rosario Remix - Edit,2144546,793
* Research,38011936,8390
* Rule The World (feat. Ariana Grande),63564010,10028
"* Santa, Can't You Hear Me",287756423,43737
"* Santa, Can't You Hear Me - Live",13779074,3998
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2091515217,1133607
"* Still Hurting - From ""The Last Five Years""",3490449,2771
* Sympathy is a knife featuring ariana grande,96922183,61728
* The Wizard And I - Live,6974557,2819
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1555043,3491
* Without Love,5060051,669
* Wonderful,10822472,74827
* You Can't Stop the Beat,10602656,1268
* You Don't Own Me (Feat. Ariana Grande),10316248,4132
34+35,1143943071,332224
34+35 - live from Vevo,464450,3314
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",287340708,54004
7 rings,2715074745,943331
7 rings (feat. 2 Chainz) - Remix,28610029,5221
7 rings - live,14731598,5205
A Little More Homework (feat. Graham Phillips) - Single Version,3002142,219
Almost Is Never Enough,370143797,124720
Almost Is Never Enough - Soundtrack Version,8877649,794
Baby I,166535807,53210
Baby I - Cosmic Dawn Radio Edit,219597,40
Baby I - Live from London,7443289,4104
Bad Decisions,117690809,29737
Bad To You (with Normani & Nicki Minaj),73339826,5136
Be Alright,324640948,58484
Be My Baby,136068272,79724
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",306530658,56476
Best Mistake,264117633,77621
Better Left Unsaid,36314153,10443
Brand New You (feat. Brynn Williams & Caitlin Gann),4608137,628
Break Free,1150965032,562350
Break Free - A Cappella,168787,296
Break Free - Zedd's Extended Mix,780932,2276
Break Your Heart Right Back,93905423,16017
Cadillac Song,4413009,4842
Come So Far (Got So Far to Go),5591107,445
Dangerous Woman,1516998849,704156
Daydreamin',229752505,80504
Daydreamin' - Live from London,8082705,4206
December,98747282,25914
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),417332402,53751
Everyday,719179845,449706
Focus,351186105,69889
God is a woman,1230383746,368730
Got Her Own (with Victoria Monét),18401031,2916
Greedy,338102768,144620
Hampstead,85799558,214881
Hampstead - a cappella,1248833,2750
Hampstead - instrumental,194772,653
Hands On Me,62124207,28630
Honeymoon Avenue,220823910,92010
Honeymoon Avenue - Live from London,13677244,7058
How I Look On You,40281525,9436
I Don't Care,67536350,14472
I'm Not That Girl (Reprise),7475782,38434
Into You,1847969374,1164378
Into You - 3LAU Remix,67383327,12352
Into You - Alex Ghenea Remix,19607850,5299
Intro,41181620,13474
