Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10487341,52613
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),1880151,40379
* Adore,70415953,28466
* All My Love,38367474,7167
* All My Love (Remix),82724856,7582
* All My Love - French Version,740533,84
* Arturo Sandoval,3867478,1294
* Bang Bang,1626577835,488227
* Bang Bang - 3LAU Extended Mix,110730,0
* Bang Bang - 3LAU Remix,24357347,2019
* Bang Bang - A Cappella,186400,314
* Bang Bang - Dada Life Remix,6422782,168
* Bang Bang - Imanos & Gramercy Remix,3238561,339
* Bang Bang - Kat Krazy Extended Mix,177052,7
* Bang Bang - Kat Krazy Remix,2464544,105
* Bang Bang - Super Stylers Remix,1503489,121
* Bang Bang - iLL BLU Mix Radio Edit,112675,3
* Bed (feat. Ariana Grande),320697612,36229
* Dance To This (feat. Ariana Grande),326881703,60542
* Dancing Through Life,89504164,109049
* Dear Old Shiz,33759233,32624
* Defying Gravity,194805721,266130
* Defying Gravity - Edit,19900988,51987
* Die For You (with Ariana Grande) - Remix,1239172406,475681
"* E più ti penso - From ""Once Upon A Time In America""",31164105,3609
* Every Day More Wicked,8576365,83543
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",116100647,25124
* For Good,24442560,309722
* For Good - Edit,279390,17719
* For Good - Live from the Gershwin Theatre,9014295,58150
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3138265,23473
* Get On Your Knees,98401508,12810
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62462949,19264
* Good as Hell (feat. Ariana Grande) - Remix,465771114,36531
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146374882,7298
* Hotel Rock Bottom (feat. Ariana Grande),2524031,2184
* I Don't Do Drugs (feat. Ariana Grande),230362847,49176
* I Don't Know Why (I Just Do),3471826,5498
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21135652,49102
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18196359,5690
"* Mama, I'm a Big Girl Now",15765856,2338
* Met Him Last Night,146723200,23322
* Met Him Last Night - Dave Audé Remix,10435073,884
* My Favorite Part,428885665,98626
* No One Mourns the Wicked,82810027,104393
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),130118069,489310
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1744167,1264
* One Short Day,45594917,47079
* Over And Over Again - Elephante Uptempo Radio Version,4884106,335
* Popular Song,149443084,38754
* Quit,270648531,48189
* Rain On Me (with Ariana Grande),1207372350,193163
* Rain On Me (with Ariana Grande) - Arca Remix,5830752,759
* Rain On Me - Purple Disco Machine Remix,3633854,637
* Rain On Me - Purple Disco Machine Remix - Edit,33534257,6173
* Rain On Me - Ralphi Rosario Remix,1395276,237
* Rain On Me - Ralphi Rosario Remix - Edit,2131905,536
* Research,37827750,9243
* Rule The World,63344513,8433
"* Santa, Can't You Hear Me",267493205,2506232
"* Santa, Can't You Hear Me - Live",13151778,84053
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2067042043,1088320
"* Still Hurting - From ""The Last Five Years""",3429253,2674
* Sympathy is a knife featuring ariana grande,95765493,59743
* The Wizard And I - Live,6901672,3859
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1474367,5424
* Without Love,5046233,658
* Wonderful,9064617,109209
* You Can't Stop the Beat,10577384,1128
* You Don't Own Me (Feat. Ariana Grande),10262520,4469
34+35,1137743621,321811
34+35 - live from Vevo,404853,3383
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",286299704,54972
7 rings,2696312335,938653
7 rings (feat. 2 Chainz) - Remix,28485095,5894
7 rings - live,14637622,5002
A Little More Homework (feat. Graham Phillips) - Single Version,2997569,186
Almost Is Never Enough,367829469,114760
Almost Is Never Enough - Soundtrack Version,8863403,701
Baby I,165557502,51777
Baby I - Cosmic Dawn Radio Edit,218769,50
Baby I - Live from London,7368814,3876
Bad Decisions,117173447,25860
Bad To You (with Normani & Nicki Minaj),73223971,5394
Be Alright,323558294,48693
Be My Baby,134585678,74460
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",305488521,52870
Best Mistake,262688260,67669
Better Left Unsaid,36125720,9528
Brand New You (feat. Brynn Williams & Caitlin Gann),4596076,581
Break Free,1139056488,586119
Break Free - A Cappella,162122,312
Break Free - Zedd's Extended Mix,723878,2457
Break Your Heart Right Back,93617267,14307
Cadillac Song,4329714,3875
Come So Far (Got So Far to Go),5581524,376
Dangerous Woman,1503621294,716963
Daydreamin',228154869,85170
Daydreamin' - Live from London,8006180,3908
December,96595498,225037
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),416197719,51885
Everyday,710497338,445779
Focus,349874071,60044
God is a woman,1223204538,372099
Got Her Own (with Victoria Monét),18339440,2583
Greedy,335514743,122413
Hampstead,81672348,148925
Hampstead - a cappella,1195937,2343
Hampstead - instrumental,183228,458
Hands On Me,61664086,19781
Honeymoon Avenue,219002190,99132
Honeymoon Avenue - Live from London,13545761,7024
How I Look On You,40065376,9726
I Don't Care,67271999,12592
I'm Not That Girl (Reprise),6536740,59975
Into You,1825761229,1134820
Into You - 3LAU Remix,67144899,11857
Into You - Alex Ghenea Remix,19505860,5115
Intro,40959888,47656
Jason's Song (Gave It Away),36778759,11701
Just A Little Bit Of Your Heart,196607309,31328
Just Look Up (From Don't Look Up),84794551,7864
Knew Better / Forever Boy,111809385,22953
Last Christmas,313554380,1340472
Leave Me Lonely,122532433,27664
Let Me Love You,514625315,339371
Love Is Everything,32279493,132462
Love Me Harder,1249938576,880285
Love Me Harder - A Cappella,227689,466
Love Me Harder - Alex Ghenea Remix,551744,69
Love Me Harder - Gregor Salto Amsterdam Mix,120018,8
Love Me Harder - Instrumental,185536,1742
Lovin' It,43762665,9830
MONOPOLY (with Victoria Monét),201080945,23122
Moonlight,251794587,71203
My Everything,214171322,81435
NASA,341846319,56274
Nobody (with Chaka Khan),9987347,1331
Not Just On Christmas,39546076,159669
One Last Time,1957858145,990105
One Last Time (Attends-Moi),12086361,4517
One Last Time - A Cappella,514769,943
One Last Time - Gazzo Remix,529766,38
One Last Time - Instrumental,104477,215
Only 1,72611650,21771
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1246795,5512
Piano,78003479,11633
Popular,151599094,201986
