Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,9736359,12134
* Adore,69197211,29296
* All My Love,38103669,11722
* All My Love (Remix),82457081,15012
* All My Love - French Version,738038,116
* Arturo Sandoval,3826037,2025
* Bang Bang,1613750580,544267
* Bang Bang - 3LAU Extended Mix,110668,2
* Bang Bang - 3LAU Remix,24304296,2556
* Bang Bang - A Cappella,177169,253
* Bang Bang - Dada Life Remix,6417804,207
* Bang Bang - Imanos & Gramercy Remix,3229441,444
* Bang Bang - Kat Krazy Extended Mix,176918,817
* Bang Bang - Kat Krazy Remix,2461505,164
* Bang Bang - Super Stylers Remix,1500344,143
* Bang Bang - iLL BLU Mix Radio Edit,112609,6
* Bed (feat. Ariana Grande),319632910,47974
* Dance To This (feat. Ariana Grande),325515771,48307
* Dancing Through Life,84962573,390779
* Dear Old Shiz,32233340,163622
* Defying Gravity,185448570,629751
* Defying Gravity - Edit,17281083,78397
* Die For You (with Ariana Grande) - Remix,1226001027,503075
"* E piÃ¹ ti penso - From ""Once Upon A Time In America""",31029269,3795
* Every Day More Wicked,4294621,675977
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",115467864,27574
* For Good,9242560,0
* For Good - Live from the Gershwin Theatre,6187392,267564
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,2149019,92241
* Get On Your Knees,98044035,15867
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),61939841,29748
* Good as Hell (feat. Ariana Grande) - Remix,464655298,55714
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146151240,9428
* Hotel Rock Bottom (feat. Ariana Grande),2457708,3391
* I Don't Do Drugs (feat. Ariana Grande),228883231,53774
* I Don't Know Why (I Just Do),3292671,10823
* It Was Aâ¦ (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),20361745,14305
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18021761,6768
"* Mama, I'm a Big Girl Now",15696521,3066
* Met Him Last Night,146097798,35169
* Met Him Last Night - Dave AudÃ© Remix,10404843,1474
* My Favorite Part,425790095,113274
* No One Mourns the Wicked,78511068,391853
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),120756366,166479
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1699618,1805
* One Short Day,43576084,186819
* Over And Over Again - Elephante Uptempo Radio Version,4877739,261
* Popular Song,148366002,56625
* Quit,268741243,43659
* Rain On Me (with Ariana Grande),1202121115,214437
* Rain On Me (with Ariana Grande) - Arca Remix,5808175,839
* Rain On Me - Purple Disco Machine Remix,3616554,655
