Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10862993,447
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2797676,8351
* Adore,71851226,23082
* All My Love,38986010,7527
* All My Love (Remix),83432714,9994
* All My Love - French Version,746701,67
* Arturo Sandoval,3953951,1207
* Bang Bang,1657700190,478336
* Bang Bang - 3LAU Extended Mix,110919,4
* Bang Bang - 3LAU Remix,24484633,2020
* Bang Bang - A Cappella,203536,426
* Bang Bang - Dada Life Remix,6434665,178
* Bang Bang - Imanos & Gramercy Remix,3258935,311
* Bang Bang - Kat Krazy Extended Mix,177337,6
* Bang Bang - Kat Krazy Remix,2471615,99
* Bang Bang - Super Stylers Remix,1510679,99
* Bang Bang - iLL BLU Mix Radio Edit,112857,2
* Bed (feat. Ariana Grande),322907608,27566
* Dance To This (feat. Ariana Grande),330423269,57937
* Dancing Through Life,93810973,48428
* Dear Old Shiz,34975855,12034
* Defying Gravity,205063553,117402
* Defying Gravity - Edit,22124130,22420
* Die For You (with Ariana Grande) - Remix,1269913667,484039
"* E più ti penso - From ""Once Upon A Time In America""",31375793,3480
* Every Day More Wicked,11203855,21170
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117785081,25702
* For Good,35114478,95621
* For Good - Edit,928045,5633
* For Good - Live from the Gershwin Theatre,11058755,20996
* For Good - Sing-Along,139318,385
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3922445,7269
* Get On Your Knees,99189745,10619
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63805179,19852
* Good as Hell (feat. Ariana Grande) - Remix,468329735,39537
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146968626,8499
* Hotel Rock Bottom (feat. Ariana Grande),2661679,2692
* I Don't Do Drugs (feat. Ariana Grande),233874759,58559
* I Don't Know Why (I Just Do),3783728,5014
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21483224,935
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18553160,6150
"* Mama, I'm a Big Girl Now",15929331,2420
* Met Him Last Night,148271559,24790
* Met Him Last Night - Dave Audé Remix,10508142,980
* My Favorite Part,436908721,137306
* No One Mourns the Wicked,86684757,43276
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135241489,3818
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1818222,1153
* One Short Day,47424338,19631
* Over And Over Again - Elephante Uptempo Radio Version,4907531,324
* Popular Song (MIKA & Ariana Grande),151504093,29518
* Quit,273246805,42265
* Rain On Me (with Ariana Grande),1220371915,203882
* Rain On Me (with Ariana Grande) - Arca Remix,5887052,838
* Rain On Me - Purple Disco Machine Remix,3679500,660
* Rain On Me - Purple Disco Machine Remix - Edit,33915259,5478
* Rain On Me - Ralphi Rosario Remix,1410871,231
* Rain On Me - Ralphi Rosario Remix - Edit,2168406,498
* Research,38420839,8317
* Rule The World,64014417,9483
"* Santa, Can't You Hear Me",288468356,10130
"* Santa, Can't You Hear Me - Live",13877136,1729
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2137037721,959266
"* Still Hurting - From ""The Last Five Years""",3591984,2078
* Sympathy is a knife featuring ariana grande,99434861,62648
* The Wizard And I - Live,7068197,2089
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1651128,1646
* Without Love,5091308,642
* Wonderful,12936309,35686
* You Can't Stop the Beat,10656193,1194
* You Don't Own Me (Feat. Ariana Grande),10494233,3295
34+35,1156449523,272911
34+35 - live from Vevo,580633,2585
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",289593292,50113
7 rings,2751596617,774827
7 rings (feat. 2 Chainz) - Remix,28824191,4753
7 rings - live,14924847,4047
A Little More Homework (feat. Graham Phillips) - Single Version,3011237,198
Almost Is Never Enough (with Nathan Sykes),375701779,128724
