Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10851228,603
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2606003,12450
* Adore,71320334,22770
* All My Love,38742760,12877
* All My Love (Remix),83159882,11700
* All My Love - French Version,744232,119
* Arturo Sandoval,3920776,1550
* Bang Bang,1645483525,462600
* Bang Bang - 3LAU Extended Mix,110843,6
* Bang Bang - 3LAU Remix,24433053,2224
* Bang Bang - A Cappella,195932,241
* Bang Bang - Dada Life Remix,6429970,199
* Bang Bang - Imanos & Gramercy Remix,3251044,335
* Bang Bang - Kat Krazy Extended Mix,177232,4
* Bang Bang - Kat Krazy Remix,2468724,142
* Bang Bang - Super Stylers Remix,1507985,116
* Bang Bang - iLL BLU Mix Radio Edit,112795,3
* Bed (feat. Ariana Grande),322057566,37115
* Dance To This (feat. Ariana Grande),329102585,53654
* Dancing Through Life,92461180,65541
* Dear Old Shiz,34629433,17159
* Defying Gravity,201620551,145415
* Defying Gravity - Edit,21454958,34148
* Die For You (with Ariana Grande) - Remix,1257350960,483841
"* E più ti penso - From ""Once Upon A Time In America""",31278355,3509
* Every Day More Wicked,10557566,34057
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117123007,29147
* For Good,32241086,146986
* For Good - Edit,733062,11166
* For Good - Live from the Gershwin Theatre,10467981,30067
* For Good - Sing-Along,127440,624
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3706631,10669
* Get On Your Knees,98888967,14006
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63241519,23047
* Good as Hell (feat. Ariana Grande) - Remix,467306046,41299
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146721005,10074
* Hotel Rock Bottom (feat. Ariana Grande),2609794,2506
* I Don't Do Drugs (feat. Ariana Grande),232465187,61848
* I Don't Know Why (I Just Do),3668177,5160
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21457562,1157
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18427730,6064
"* Mama, I'm a Big Girl Now",15862736,2802
* Met Him Last Night,147669586,27008
* Met Him Last Night - Dave Audé Remix,10480080,1215
* My Favorite Part,433361165,154322
* No One Mourns the Wicked,85527810,56778
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135131245,5464
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1784548,1392
* One Short Day,46873204,26453
* Over And Over Again - Elephante Uptempo Radio Version,4895123,277
* Popular Song (MIKA & Ariana Grande),150721279,37650
* Quit,272274700,41586
* Rain On Me (with Ariana Grande),1215149435,206121
* Rain On Me (with Ariana Grande) - Arca Remix,5863270,944
* Rain On Me - Purple Disco Machine Remix,3660858,771
* Rain On Me - Purple Disco Machine Remix - Edit,33765781,6066
* Rain On Me - Ralphi Rosario Remix,1404750,234
* Rain On Me - Ralphi Rosario Remix - Edit,2154330,585
* Research,38185921,8688
* Rule The World,63744616,11459
"* Santa, Can't You Hear Me",288192468,13200
"* Santa, Can't You Hear Me - Live",13827234,2599
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2110430442,1115654
"* Still Hurting - From ""The Last Five Years""",3534720,2666
* Sympathy is a knife featuring ariana grande,97909029,62221
* The Wizard And I - Live,7018078,2456
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1600805,2514
* Without Love,5072977,859
* Wonderful,11874428,54673
* You Can't Stop the Beat,10624557,1311
* You Don't Own Me (Feat. Ariana Grande),10374286,3627
34+35,1149267131,339547
34+35 - live from Vevo,515497,3061
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",288259558,58241
7 rings,2730384222,994804
7 rings (feat. 2 Chainz) - Remix,28698947,5598
7 rings - live,14815500,4977
A Little More Homework (feat. Graham Phillips) - Single Version,3006135,180
Almost Is Never Enough (with Nathan Sykes),372392012,136170
Almost Is Never Enough - Soundtrack Version,8892077,863
Baby I,167443339,55819
Baby I - Cosmic Dawn Radio Edit,220218,22
Baby I - Live from London,7507643,3753
Bad Decisions,118168900,27167
Bad To You (with Normani & Nicki Minaj),73441079,5827
Be Alright,325611493,63290
Be My Baby,137363114,74605
