Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,9944439,25618
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),1383756,94370
* Adore,69846631,32471
* All My Love,38224521,9512
* All My Love (Remix),82576014,10326
* All My Love - French Version,739230,81
* Arturo Sandoval,3842865,1455
* Bang Bang,1619234764,453732
* Bang Bang - 3LAU Extended Mix,110694,4
* Bang Bang - 3LAU Remix,24326380,1597
* Bang Bang - A Cappella,181491,340
* Bang Bang - Dada Life Remix,6419914,172
* Bang Bang - Imanos & Gramercy Remix,3233678,323
* Bang Bang - Kat Krazy Extended Mix,176967,4
* Bang Bang - Kat Krazy Remix,2462850,104
* Bang Bang - Super Stylers Remix,1501575,133
* Bang Bang - iLL BLU Mix Radio Edit,112635,1
* Bed (feat. Ariana Grande),320091283,39132
* Dance To This (feat. Ariana Grande),326177322,53365
* Dancing Through Life,87499215,161148
* Dear Old Shiz,33151262,54142
* Defying Gravity,190354227,334340
* Defying Gravity - Edit,18704508,102528
* Die For You (with Ariana Grande) - Remix,1231565231,486405
"* E più ti penso - From ""Once Upon A Time In America""",31104919,3928
* Every Day More Wicked,6907157,141726
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",115739212,23095
* For Good,17913298,522300
* For Good - Live from the Gershwin Theatre,7788092,90405
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,2705574,34597
* Get On Your Knees,98196904,13563
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62163707,19714
* Good as Hell (feat. Ariana Grande) - Remix,465175332,38297
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146247927,8441
* Hotel Rock Bottom (feat. Ariana Grande),2487610,3230
* I Don't Do Drugs (feat. Ariana Grande),229466556,53625
* I Don't Know Why (I Just Do),3378797,7216
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),20602781,25940
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18084405,6264
"* Mama, I'm a Big Girl Now",15726441,2695
* Met Him Last Night,146362293,20459
* Met Him Last Night - Dave Audé Remix,10418110,1065
* My Favorite Part,427147383,125498
* No One Mourns the Wicked,80952019,151452
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),123985822,431052
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1717021,1740
* One Short Day,44738356,70421
* Over And Over Again - Elephante Uptempo Radio Version,4884106,335
* Popular Song,148845911,35478
* Quit,269684741,47174
* Rain On Me (with Ariana Grande),1204256055,182607
* Rain On Me (with Ariana Grande) - Arca Remix,5817425,801
* Rain On Me - Purple Disco Machine Remix,3623907,632
* Rain On Me - Purple Disco Machine Remix - Edit,33438522,5246
* Rain On Me - Ralphi Rosario Remix,1391284,221
* Rain On Me - Ralphi Rosario Remix - Edit,2122918,676
* Research,37700592,9426
* Rule The World (feat. Ariana Grande),63198871,9864
"* Santa, Can't You Hear Me",238183774,1963143
"* Santa, Can't You Hear Me - Live",12119378,63256
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2050840194,945009
"* Still Hurting - From ""The Last Five Years""",3371636,4803
* Sympathy is a knife featuring ariana grande,94811958,61376
* The Wizard And I - Live,6828330,7706
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1351507,9915
* Without Love,5036127,733
* Wonderful,6939997,176629
* You Can't Stop the Beat,10560001,1208
* You Don't Own Me (Feat. Ariana Grande),10217821,4958
34+35,1133094428,288942
34+35 - live from Vevo,351627,3482
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",285509273,47921
7 rings,2682701007,825323
7 rings (feat. 2 Chainz) - Remix,28400172,5096
7 rings - live,14564671,3737
A Little More Homework (feat. Graham Phillips) - Single Version,2994526,220
Almost Is Never Enough,366103340,110218
Almost Is Never Enough - Soundtrack Version,8853766,574
Baby I,164729267,55177
Baby I - Cosmic Dawn Radio Edit,218128,46
Baby I - Live from London,7307234,4052
Bad Decisions,116772374,22831
Bad To You (with Normani & Nicki Minaj),73132621,5372
Be Alright,322738702,48785
Be My Baby,133423562,75900
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",304655445,57185
Best Mistake,261558317,61062
Better Left Unsaid,35982769,9197
Brand New You (feat. Brynn Williams & Caitlin Gann),4584569,786
Break Free,1130311182,466801
Break Free - A Cappella,157198,279
Break Free - Zedd's Extended Mix,690545,1225
Break Your Heart Right Back,93390763,14400
Cadillac Song,4269767,3870
Come So Far (Got So Far to Go),5574567,472
Dangerous Woman,1492831443,676854
Daydreamin',226816360,90056
Daydreamin' - Live from London,7946198,3734
December,93594308,182417
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),415283406,60898
Everyday,703868594,406615
Focus,348880257,65391
God is a woman,1217586285,308327
Got Her Own (with Victoria Monét),18295176,2806
Greedy,333457303,132674
Hampstead,79289004,154360
Hampstead - a cappella,1154139,2797
Hampstead - instrumental,174829,559
Hands On Me,61337141,21479
Honeymoon Avenue,217434211,101262
Honeymoon Avenue - Live from London,13443303,6159
How I Look On You,39901779,10010
I Don't Care,67077795,11875
I'm Not That Girl (Reprise),5291341,107511
Into You,1809129752,952349
Into You - 3LAU Remix,66965912,9663
Into You - Alex Ghenea Remix,19429258,4633
Intro,40790655,38447
Jason's Song (Gave It Away),36596122,11308
Just A Little Bit Of Your Heart,196121783,30831
Just Look Up (From Don't Look Up),84671105,7330
Knew Better / Forever Boy,111414002,23904
Last Christmas,297369823,1032059
Leave Me Lonely,122108002,26111
Let Me Love You,509751450,284289
Love Is Everything,30746955,76767
Love Me Harder,1237122708,677460
Love Me Harder - A Cappella,221001,343
Love Me Harder - Alex Ghenea Remix,550690,55
Love Me Harder - Gregor Salto Amsterdam Mix,119893,7
Love Me Harder - Instrumental,164662,486
Lovin' It,43609556,10499
MONOPOLY (with Victoria Monét),200728959,18338
Moonlight,250673946,73939
My Everything,212970209,86949
NASA,340941893,54371
Nobody (with Chaka Khan),9964437,1423
Not Just On Christmas,37516808,125017
One Last Time,1943420984,878816
One Last Time (Attends-Moi),12015794,3738
One Last Time - A Cappella,501242,891
One Last Time - Gazzo Remix,528949,43
One Last Time - Instrumental,100945,237
Only 1,72247682,24266
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1143478,7772
Piano,77816560,12373
Popular,148222435,283065
Popular - Edit,5025818,23418
Popular - Live from the Dolby Theatre,726580,5575
Problem,1055959835,355172
Problem - A Cappella,1380077,1388
Problem - Dave Aude Twerk Edit,133201,14
Problem - Dawin Remix,9645753,941
Problem - Kassiano Remix,1856105,72
Problem - Noodles & Devastator Remix,2570411,219
Problem - Wayne G Radio Edit,127340,16
Put Your Hearts Up,30155363,5348
R.E.M,218888625,66028
Right There,130071969,50944
Right There - 7th Heaven Radio Edit,274672,40
Right There - Live from London (feat. Big Sean),5876407,2818
Santa Baby,235748218,379409
Santa Tell Me,1387034099,5005827
Saturn Returns Interlude,85411419,44985
Saturn Returns Interlude - a cappella,378534,712
Saturn Returns Interlude - instrumental,325953,700
Side To Side,1751881139,821853
Side To Side - Phantoms Remix,3867551,345
Side To Side - Slushii Remix,16709623,1468
Snow In California,76092584,132793
Sometimes,111249256,33075
Somewhere Over The Rainbow - Live From Manchester,19155747,5351
Step On Up,52124153,23593
Stuck with U (with Justin Bieber),1364493220,456585
Tattooed Heart,167717601,59729
Tattooed Heart - Live from London,9850519,7489
Thank Goodness - Live from the Dolby Theatre,2418178,26138
Thank Goodness / I Couldn't Be Happier,8746666,212605
The Girl in the Bubble,11601684,176620
The Way,555775220,206688
The Way - JdB Radio,114701,27
The Way - Live from London (feat. Mac Miller),15001075,7524
They Don't Know,110917829,13139
Thinking Bout You,170339990,57271
Too Close,4426987,4558
Touch It,197986120,77757
