Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10848683,848
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2481499,15873
* Adore,70887698,24828
* All My Love,38697725,8875
* All My Love (Remix),83112287,12745
* All My Love - French Version,743818,112
* Arturo Sandoval,3915251,1371
* Bang Bang,1643615057,431469
* Bang Bang - 3LAU Extended Mix,110830,7
* Bang Bang - 3LAU Remix,24424828,1641
* Bang Bang - A Cappella,194988,248
* Bang Bang - Dada Life Remix,6429177,154
* Bang Bang - Imanos & Gramercy Remix,3249726,336
* Bang Bang - Kat Krazy Extended Mix,177212,9
* Bang Bang - Kat Krazy Remix,2468244,116
* Bang Bang - Super Stylers Remix,1507501,105
* Bang Bang - iLL BLU Mix Radio Edit,112781,4
* Bed (feat. Ariana Grande),321917519,34534
* Dance To This (feat. Ariana Grande),328887967,61687
* Dancing Through Life,92211979,54271
* Dear Old Shiz,34562926,15485
* Defying Gravity,201058157,129814
* Defying Gravity - Edit,21312514,33353
* Die For You (with Ariana Grande) - Remix,1255386677,500821
"* E più ti penso - From ""Once Upon A Time In America""",31278355,3509
* Every Day More Wicked,10421182,31693
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117014003,24382
* For Good,31656905,133508
* For Good - Edit,689389,9099
* For Good - Live from the Gershwin Theatre,10347690,26681
* For Good - Sing-Along,124900,616
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3664107,9686
* Get On Your Knees,98837507,11947
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63154498,21755
* Good as Hell (feat. Ariana Grande) - Remix,467149953,32013
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146684207,9594
* Hotel Rock Bottom (feat. Ariana Grande),2601017,2018
* I Don't Do Drugs (feat. Ariana Grande),232242128,53735
* I Don't Know Why (I Just Do),3648245,4281
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21452711,1111
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18367083,5984
"* Mama, I'm a Big Girl Now",15852096,2579
* Met Him Last Night,147568641,19566
