Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,9761497,13300
* Adore,69197211,29296
* All My Love,38132513,14567
* All My Love (Remix),82483409,12610
* All My Love - French Version,738295,172
* Arturo Sandoval,3829433,1622
* Bang Bang,1614727180,484474
* Bang Bang - 3LAU Extended Mix,110672,3
* Bang Bang - 3LAU Remix,24308400,2074
* Bang Bang - A Cappella,178260,454
* Bang Bang - Dada Life Remix,6418210,188
* Bang Bang - Imanos & Gramercy Remix,3230363,422
* Bang Bang - Kat Krazy Extended Mix,176924,3
* Bang Bang - Kat Krazy Remix,2461757,130
* Bang Bang - Super Stylers Remix,1500542,85
* Bang Bang - iLL BLU Mix Radio Edit,112613,1
* Bed (feat. Ariana Grande),319729403,47272
* Dance To This (feat. Ariana Grande),325632232,58230
* Dancing Through Life,85558048,290573
* Dear Old Shiz,32475428,112942
* Defying Gravity,186490430,510567
* Defying Gravity - Edit,17529993,145424
* Die For You (with Ariana Grande) - Remix,1226976508,488760
"* E piÃ¹ ti penso - From ""Once Upon A Time In America""",31072940,6238
* Every Day More Wicked,4989186,312813
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",115519399,25847
* For Good,11395466,1014526
* For Good - Live from the Gershwin Theatre,6587923,184873
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,2289427,65720
* Get On Your Knees,98075728,15452
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),61986322,20473
* Good as Hell (feat. Ariana Grande) - Remix,464776845,57220
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146169830,9088
* Hotel Rock Bottom (feat. Ariana Grande),2464131,2878
* I Don't Do Drugs (feat. Ariana Grande),228984288,49149
* I Don't Know Why (I Just Do),3309872,7726
* It Was Aâ¦ (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),20392853,17182
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18021761,6768
"* Mama, I'm a Big Girl Now",15702403,2787
* Met Him Last Night,146154041,27089
* Met Him Last Night - Dave AudÃ© Remix,10407656,1362
* My Favorite Part,426011241,106251
* No One Mourns the Wicked,79111973,283975
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),121126430,186510
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1699618,1805
* One Short Day,43863343,135932
* Over And Over Again - Elephante Uptempo Radio Version,4877739,261
* Popular Song,148470748,52192
* Quit,268741243,43659
* Rain On Me (with Ariana Grande),1202522671,200825
* Rain On Me (with Ariana Grande) - Arca Remix,5810000,855
* Rain On Me - Purple Disco Machine Remix,3617912,669
* Rain On Me - Purple Disco Machine Remix - Edit,33382560,7933
* Rain On Me - Ralphi Rosario Remix,1388946,211
* Rain On Me - Ralphi Rosario Remix - Edit,2117120,566
* Research,37634606,8835
* Rule The World,63112853,9914
"* Santa, Canât You Hear Me",224146644,1079060
"* Santa, Canât You Hear Me - Live",11568361,38807
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2041284622,1054410
"* Still Hurting - From ""The Last Five Years""",3322661,9328
* Sympathy is a knife featuring ariana grande,94214540,52538
* The Wizard And I - Live,6757410,11954
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1200831,25895
* Without Love,5028773,786
* Wonderful,4593748,357527
* You Can't Stop the Beat,10548712,1307
* You Don't Own Me (Feat. Ariana Grande),10168237,7157
34+35,1130338014,283230
34+35 - live from Vevo,315144,4631
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",285047299,57432
7 rings,2674835346,797957
7 rings (feat. 2 Chainz) - Remix,28342526,8380
7 rings - live,14526374,4459
A Little More Homework (feat. Graham Phillips) - Single Version,2992418,229
Almost Is Never Enough,365000495,126490
Almost Is Never Enough - Soundtrack Version,8848215,626
Baby I,164238082,61327
Baby I - Cosmic Dawn Radio Edit,217712,36
Baby I - Live from London,7268905,4099
Bad Decisions,116527071,27722
Bad To You (with Normani & Nicki Minaj),73078082,7779
Be Alright,322238843,66739
Be My Baby,132754985,91213
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",304090800,68242
Best Mistake,260911941,74503
Better Left Unsaid,35895604,9558
Brand New You (feat. Brynn Williams & Caitlin Gann),4570449,2120
Break Free,1125478368,526139
Break Free - A Cappella,154319,380
Break Free - Zedd's Extended Mix,677909,1479
Break Your Heart Right Back,93250672,15620
Cadillac Song,4233794,3788
Come So Far (Got So Far to Go),5569992,557
Dangerous Woman,1486508847,647755
Daydreamin',226009459,97057
Daydreamin' - Live from London,7909210,3979
December,92141028,109028
Donât Call Me Angel (Charlieâs Angels) (with Miley Cyrus & Lana Del Rey),414730346,65040
Everyday,700015054,425002
Focus,348306902,63597
God is a woman,1214471043,307468
Got Her Own (with Victoria MonÃ©t),18267896,3027
Greedy,332305802,128996
Hampstead,77825860,139234
Hampstead - a cappella,1127084,3525
Hampstead - instrumental,169677,581
Hands On Me,61144370,19631
Honeymoon Avenue,216447795,108296
Honeymoon Avenue - Live from London,13379603,7018
How I Look On You,39806039,11920
I Don't Care,66963159,12696
Into You,1799859372,945927
Into You - 3LAU Remix,66858604,15105
Into You - Alex Ghenea Remix,19385553,4840
Intro,40676850,25339
Iâm Not That Girl (Reprise),3784873,248228
Jason's Song (Gave It Away),36483909,11580
Just A Little Bit Of Your Heart,195812079,36150
Just Look Up (From Donât Look Up),84598242,8261
Knew Better / Forever Boy,111166813,27061
Last Christmas,289497747,621376
Leave Me Lonely,121847501,30724
Let Me Love You,506932944,284110
Love Is Everything,30115311,47552
Love Me Harder,1230414618,689839
Love Me Harder - A Cappella,217375,358
Love Me Harder - Alex Ghenea Remix,550112,76
Love Me Harder - Gregor Salto Amsterdam Mix,119809,6
Love Me Harder - Instrumental,160353,393
Lovin' It,43512516,10345
MONOPOLY (with Victoria MonÃ©t),200540788,21651
