Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10857751,492
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2707964,10196
* Adore,71320334,22770
* All My Love,38875028,10726
* All My Love (Remix),83306182,10605
* All My Love - French Version,745624,121
* Arturo Sandoval,3938539,1190
* Bang Bang,1651857007,507728
* Bang Bang - 3LAU Extended Mix,110878,0
* Bang Bang - 3LAU Remix,24460606,2527
* Bang Bang - A Cappella,199615,302
* Bang Bang - Dada Life Remix,6432570,217
* Bang Bang - Imanos & Gramercy Remix,3255318,317
* Bang Bang - Kat Krazy Extended Mix,177288,4
* Bang Bang - Kat Krazy Remix,2470370,116
* Bang Bang - Super Stylers Remix,1509448,124
* Bang Bang - iLL BLU Mix Radio Edit,112826,1949
* Bed (feat. Ariana Grande),322514005,35835
* Dance To This (feat. Ariana Grande),329749670,50930
* Dancing Through Life,93199423,54512
* Dear Old Shiz,34819867,13176
* Defying Gravity,203544423,130676
* Defying Gravity - Edit,21837362,28358
* Die For You (with Ariana Grande) - Remix,1263836036,536876
"* E più ti penso - From ""Once Upon A Time In America""",31325982,3435
* Every Day More Wicked,10925844,25159
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",117469859,26581
* For Good,33873841,115736
* For Good - Edit,847453,9128
* For Good - Live from the Gershwin Theatre,10800092,24406
* For Good - Sing-Along,134284,484
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3828404,8647
* Get On Your Knees,99045122,11851
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),63531529,22198
* Good as Hell (feat. Ariana Grande) - Remix,467830582,42150
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146852154,10425
* Hotel Rock Bottom (feat. Ariana Grande),2636751,1981
* I Don't Do Drugs (feat. Ariana Grande),233191871,56669
* I Don't Know Why (I Just Do),3727582,5023
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),21471278,969
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18491659,6392
"* Mama, I'm a Big Girl Now",15897542,2672
* Met Him Last Night,147979401,25441
* Met Him Last Night - Dave Audé Remix,10494626,1250
* My Favorite Part,435168958,133460
* No One Mourns the Wicked,86161258,45287
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135193286,4248
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1806685,1147
* One Short Day,47174730,21468
* Over And Over Again - Elephante Uptempo Radio Version,4901361,328
* Popular Song (MIKA & Ariana Grande),151132471,31980
* Quit,272274700,41586
* Rain On Me (with Ariana Grande),1217897979,243925
* Rain On Me (with Ariana Grande) - Arca Remix,5875864,1057
