Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,10077184,32175
* A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),1476358,89384
* Adore,69846631,32471
* All My Love,38273474,10653
* All My Love (Remix),82627458,11075
* All My Love - French Version,739661,84
* Arturo Sandoval,3851230,2108
* Bang Bang,1621705881,514166
* Bang Bang - 3LAU Extended Mix,110710,4
* Bang Bang - 3LAU Remix,24338005,2294
* Bang Bang - A Cappella,183235,291
* Bang Bang - Dada Life Remix,6420943,173
* Bang Bang - Imanos & Gramercy Remix,3235539,333
* Bang Bang - Kat Krazy Extended Mix,176983,3
* Bang Bang - Kat Krazy Remix,2463449,126
* Bang Bang - Super Stylers Remix,1502246,112
* Bang Bang - iLL BLU Mix Radio Edit,112644,3
* Bed (feat. Ariana Grande),320297173,44971
* Dance To This (feat. Ariana Grande),326280291,51484
* Dancing Through Life,88286042,151851
* Dear Old Shiz,33393484,45807
* Defying Gravity,192018879,327943
* Defying Gravity - Edit,19188134,97444
* Die For You (with Ariana Grande) - Remix,1234223395,524041
"* E più ti penso - From ""Once Upon A Time In America""",31119531,3653
* Every Day More Wicked,7594909,127335
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",115862535,26207
* For Good,20612254,526729
* For Good - Live from the Gershwin Theatre,8278613,102971
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,2877456,33012
* Get On Your Knees,98265271,14200
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),62259658,20049
* Good as Hell (feat. Ariana Grande) - Remix,465388734,44417
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146290277,9303
* Hotel Rock Bottom (feat. Ariana Grande),2502320,2607
* I Don't Do Drugs (feat. Ariana Grande),229774427,62519
* I Don't Know Why (I Just Do),3413554,6553
* It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),20752163,33065
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18139450,5504
"* Mama, I'm a Big Girl Now",15739884,2856
* Met Him Last Night,146486514,24486
* Met Him Last Night - Dave Audé Remix,10423844,1222
* My Favorite Part,427798328,118024
* No One Mourns the Wicked,81667611,135109
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),125720756,321363
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1731519,1449
* One Short Day,45077782,65265
* Over And Over Again - Elephante Uptempo Radio Version,4884106,335
* Popular Song,149066091,45457
* Quit,269684741,47174
* Rain On Me (with Ariana Grande),1205359575,232671
* Rain On Me (with Ariana Grande) - Arca Remix,5821858,976
* Rain On Me - Purple Disco Machine Remix,3627313,737
* Rain On Me - Purple Disco Machine Remix - Edit,33470498,6902
* Rain On Me - Ralphi Rosario Remix,1392726,292
* Rain On Me - Ralphi Rosario Remix - Edit,2126238,631
* Research,37763044,8921
* Rule The World,63246421,10267
"* Santa, Can't You Hear Me",246218850,1803049
"* Santa, Can't You Hear Me - Live",12430529,63580
* Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2056322114,1110442
"* Still Hurting - From ""The Last Five Years""",3394212,4061
* Sympathy is a knife featuring ariana grande,95162926,71745
* The Wizard And I - Live,6856063,5784
* What Is This Feeling? / Dear Old Shiz - Live from the Dolby Theatre,1406094,11102
* Without Love,5039682,740
* Wonderful,7811793,160926
* You Can't Stop the Beat,10565896,1193
* You Don't Own Me (Feat. Ariana Grande),10217821,4958
34+35,1134629284,310125
34+35 - live from Vevo,371822,3950
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",285776996,55391
7 rings,2687341578,981566
7 rings (feat. 2 Chainz) - Remix,28429065,5239
7 rings - live,14587134,4648
A Little More Homework (feat. Graham Phillips) - Single Version,2995598,234
Almost Is Never Enough,366713428,121753
Almost Is Never Enough - Soundtrack Version,8856920,682
Baby I,165019780,57116
Baby I - Cosmic Dawn Radio Edit,218341,43
Baby I - Live from London,7329328,4137
Bad Decisions,116913775,28492
Bad To You (with Normani & Nicki Minaj),73161971,6358
Be Alright,323036205,62734
Be My Baby,133824499,79357
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",304948611,58879
Best Mistake,261983396,91257
Better Left Unsaid,36033035,9663
Brand New You (feat. Brynn Williams & Caitlin Gann),4589218,814
Break Free,1133130006,644856
Break Free - A Cappella,158889,340
Break Free - Zedd's Extended Mix,699474,2604
Break Your Heart Right Back,93472846,15747
Cadillac Song,4290819,4043
Come So Far (Got So Far to Go),5577056,486
Dangerous Woman,1496519604,771806
Daydreamin',227293826,88972
Daydreamin' - Live from London,7967648,4281
December,94533795,205443
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),415597104,67101
Everyday,706093445,443917
Focus,349240613,64956
God is a woman,1219499813,384060
Got Her Own (with Victoria Monét),18309946,3005
Greedy,334195698,149651
Hampstead,80173990,168376
Hampstead - a cappella,1169714,2573
Hampstead - instrumental,178028,603
Hands On Me,61455589,22588
Honeymoon Avenue,217993571,108522
Honeymoon Avenue - Live from London,13478985,6971
How I Look On You,39955609,11222
I Don't Care,67145665,13314
I'm Not That Girl (Reprise),5819557,97263
Into You,1814650474,1163151
Into You - 3LAU Remix,67026841,13332
Into You - Alex Ghenea Remix,19456021,5087
Intro,40855443,37050
Jason's Song (Gave It Away),36660253,12382
Just A Little Bit Of Your Heart,196295133,32907
Just Look Up (From Don't Look Up),84713974,8483
Knew Better / Forever Boy,111553863,27643
Last Christmas,301972272,1033139
Leave Me Lonely,122256140,29704
Let Me Love You,511391772,331954
Love Is Everything,31183032,94491
Love Me Harder,1241264888,906018
Love Me Harder - A Cappella,223160,423
Love Me Harder - Alex Ghenea Remix,551064,85
Love Me Harder - Gregor Salto Amsterdam Mix,119936,11
Love Me Harder - Instrumental,168052,845
Lovin' It,43663995,10398
MONOPOLY (with Victoria Monét),200843409,23378
Moonlight,251075452,77243
My Everything,213392013,78772
NASA,341258359,62227
Nobody (with Chaka Khan),9972373,1587
Not Just On Christmas,38153342,133948
One Last Time,1948275614,1047650
One Last Time (Attends-Moi),12037475,4564
One Last Time - A Cappella,505673,820
One Last Time - Gazzo Remix,529231,65
One Last Time - Instrumental,102183,236
Only 1,72385183,26756
Overture / No One Mourns the Wicked - Live from the Dolby Theatre,1186318,8119
Piano,77884353,13094
Popular,149511979,251887
Popular - Edit,5133504,19371
Popular - Live from the Dolby Theatre,756178,5104
Problem,1058098016,484740
Problem - A Cappella,1388192,1715
Problem - Dave Aude Twerk Edit,133261,6
Problem - Dawin Remix,9652289,1272
Problem - Kassiano Remix,1856400,48
Problem - Noodles & Devastator Remix,2571624,251
Problem - Wayne G Radio Edit,127396,10
Put Your Hearts Up,30182375,5244
R.E.M,219304337,80710
Right There,130362405,63236
Right There - 7th Heaven Radio Edit,274932,49
Right There - Live from London (feat. Big Sean),5892645,3072
Santa Baby,237438029,377271
Santa Tell Me,1407063637,4457749
Saturn Returns Interlude,85663425,46391
Saturn Returns Interlude - a cappella,382663,768
Saturn Returns Interlude - instrumental,330451,722
Side To Side,1756343158,932546
Side To Side - Phantoms Remix,3869503,371
Side To Side - Slushii Remix,16718862,1850
Snow In California,76841952,174648
Sometimes,111440095,37990
Somewhere Over The Rainbow - Live From Manchester,19181156,4807
Step On Up,52261821,26733
Stuck with U (with Justin Bieber),1366865309,485928
Tattooed Heart,168039195,64487
Tattooed Heart - Live from London,9897697,8090
Thank Goodness - Live from the Dolby Theatre,2548691,24731
Thank Goodness / I Couldn't Be Happier,9822322,201079
The Girl in the Bubble,12512014,168492
The Way,557019301,252318
The Way - JdB Radio,114878,30
The Way - Live from London (feat. Mac Miller),15045089,8665
They Don't Know,110977211,11774
Thinking Bout You,170683001,65854
Too Close,4453739,5102
Touch It,198440913,89799
True Love,49097700,71235
What Is This Feeling?,147408176,257767
Why Try,129961275,34238
Winter Things,131342455,246863
Wit It This Christmas,47180681,73500
You Don't Know Me,60193650,13165
You'll Never Know,58080482,15806
"Zero To Hero - From ""Hercules""",32152940,3688
bad idea,321028514,100638
bad idea - live,14677697,4234
be alright - live,11773919,3126
better off,174656098,63352
